Team id,Team Name,Team Name WEB Scrap,Team Name SPL,City
6770.0,Al-Ahli,Al Ahli Jeddah,Al-Ahli,Jeddah
9623.0,Al-Baten,Al Batin,ALBATIN,Hafar Al-Batin
6777.0,Al-Faisaly,Al Faisaly,Al-Faisaly,Harmah
6772.0,Al-Fateh,Al Fateh FC,Al-Fateh,Al-Ahsa
10483.0,Al-Feiha,Al-Fayha,Al-Fayha,Al-Mjmaah
6846.0,Al-Hazm,Al Hazm Rass,Al-Hazem,Al-Ras
1317.0,Al-Hilal,Al Hilal Riyadh,Al-Hilal,Riyadh
5680.0,Al-Ittifaq,Al Ettifaq Dammam,Al-Ettifaq,Dammam
1316.0,Al-Ittihad,Al Ittihad,Al-Ittihad,Jeddah
6780.0,Al-Nassr,Al Nassr,Al-Nassr,Riyadh
6775.0,Al-Quadisiya,Qadisiyah Khobar,Al-Qadsiah,Al-Khobar
6773.0,Al-Raed,Al Raed,Al-Raed,Buraidah
6774.0,Al-Shabab,Al Shabab,Al-Shabab,Riyadh
6778.0,Al-Taawon,Al Taawon,Al-Taawoun,Buraidah
6847.0,Al-Wahda,Al Wahda Mecca,Al-Wehda,Makkah
9624.0,Ohod,Ohod,Ohod,Al-Madinah
