Date,Matchid,Team,TeamId,Opposition,Oppositionid,PassBackward,PassLeft,PassRight,UnsuccessfulBallTouch,SuccessfulBallTouch,TakeOnsOverrun,CompId,SeasId,Touchesopenplayfinalthird,Touchesopenplayoppbox,Touchesopenplayoppsixyards,DeflectedGoals,DeflectedShots,GoalfrompassfromFK,GoalsfromdivingHeaders,GoalsVolleys,FastBreakGoals,FastBreakAttempts,BigChanceCreated,BigChancesScored,BigChancesOnTarget,BigChancesOffTarget,BigChancesBlocked,BigChancesFluffed,IntentionalAssist,IntentionalChancesCreated,SecondAssists,AttackingGroundDuelsWon,AttackingGroundDuelsLost,DefensiveGroundDuelsWon,DefensiveGroundDuelsLost,AttackingAerialDuelsWon,AttackingAerialDuelsLost,DefensiveAerialDuelsWon,DefensiveAerialDuelsLost,CrossesBlocked,StraightRedcard,RedCard2Yellows,TimesTackled,GoalkeeperSmother,SavesDiving,SavesFingertip,SavesParriedSafe,SavesParriedDanger,SavesStanding,SavesReaching,SavesStooping,SavesHands,SavesFeet,SavesBody,GKPickup,SavesCaught,SavesCollected,KeeperSweeperSuccessful,KeeperSweeperUnsuccessful,TotalShotsConceded,TotalBlockedShotsConceded,Xsuccessfulpassesforwards,Xsuccessfulpassesbackwards,Xsuccessfulpassesleft,Xsuccessfulpassesright,PassesReceived,LeftFootShots,ShootingAccuracyLeftFoot,RightFootShots,ShootingAccuracyRightFoot,GKLongDistribution,GKLongAccuracy,GKShortDistribution,GKShortAccuracy,SubPosition
08/12/2018,1003196,Al-Ahli,6770,Al-Raed,6773,66,169,153,14,4,3,202,2018,189,13,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,21,19,23,8,4,9,5,6,0,1,0,14,0,2,0,1,1,2,0,0,4,0,0,3,0,2,0,0,5,5,68.46%,92.42%,93.49%,90.85%,469,0,0.00%,10,30.00%,3,66.67%,5,100.00%,0
02/02/2019,1003135,Al-Ahli,6770,Al-Baten,9623,81,129,139,10,3,2,202,2018,172,24,2,0,0,0,0,0,1,5,1,2,2,0,0,0,1,3,0,24,23,17,17,6,4,6,3,2,0,0,22,0,1,0,1,1,2,0,0,3,0,0,4,0,1,0,0,9,8,68.26%,98.77%,91.47%,87.77%,441,5,40.00%,6,50.00%,4,100.00%,2,100.00%,0
20/02/2019,1003264,Al-Ahli,6770,Al-Fateh,6772,43,143,119,17,11,3,202,2018,129,29,2,0,1,0,0,0,0,0,2,0,1,1,0,0,1,9,0,14,19,23,20,7,5,9,3,4,0,0,15,0,3,0,2,1,0,0,1,4,0,0,8,1,0,0,0,8,4,59.26%,93.02%,87.41%,92.44%,374,0,0.00%,6,66.67%,3,66.67%,9,100.00%,0
14/09/2018,1003118,Al-Ahli,6770,Ohod,9624,55,76,78,14,4,2,202,2018,105,19,3,0,0,0,0,0,0,0,3,2,3,1,1,0,0,7,0,24,17,10,8,9,6,4,4,2,1,0,14,0,1,0,2,1,1,1,1,4,0,0,5,1,0,1,0,14,2,62.73%,94.55%,84.21%,94.87%,278,1,100.00%,6,66.67%,17,52.94%,2,100.00%,0
21/09/2018,1003126,Al-Ahli,6770,Al-Hazm,6846,74,127,123,20,14,3,202,2018,145,19,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,5,0,21,21,23,11,6,7,10,4,5,0,0,20,0,2,0,0,0,1,0,0,3,0,0,7,1,2,0,0,7,3,68.48%,95.95%,88.19%,90.24%,414,3,0.00%,6,83.33%,6,16.67%,2,100.00%,0
03/11/2018,1003167,Al-Ahli,6770,Al-Nassr,6780,41,76,83,18,8,3,202,2018,100,22,0,0,0,0,0,0,1,3,2,2,3,1,0,0,1,8,0,26,20,25,17,3,8,3,6,4,0,0,16,0,2,0,2,1,0,1,2,5,0,0,5,0,2,0,0,8,2,59.09%,97.56%,89.47%,91.57%,283,3,66.67%,5,60.00%,6,50.00%,3,100.00%,0
30/11/2018,1003189,Al-Ahli,6770,Al-Feiha,10483,78,117,120,14,10,3,202,2018,154,25,4,0,0,0,0,0,0,0,5,1,2,4,0,0,1,10,0,19,19,19,21,2,5,4,4,1,0,0,15,0,1,0,2,1,3,0,1,4,0,1,1,0,2,0,0,9,4,68.99%,96.15%,91.45%,94.17%,417,3,33.33%,7,42.86%,4,75.00%,6,100.00%,0
08/03/2019,1003280,Al-Ahli,6770,Al-Quadisiya,6775,56,121,121,14,12,3,202,2018,137,17,2,0,1,0,0,0,0,0,1,1,1,0,0,0,2,5,0,29,25,11,18,4,6,16,8,3,0,0,18,0,0,0,0,0,1,0,1,2,0,0,6,0,2,0,0,9,1,60.00%,92.86%,94.21%,87.60%,385,0,0.00%,8,37.50%,6,66.67%,7,100.00%,0
29/09/2018,1003246,Al-Ahli,6770,Al-Baten,9623,114,197,189,13,13,3,202,2018,160,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,19,17,17,9,2,3,8,5,0,0,0,19,0,0,0,0,1,1,1,1,3,0,0,6,1,1,0,0,8,0,75.14%,96.49%,93.91%,94.71%,625,3,66.67%,5,40.00%,2,100.00%,6,100.00%,0
12/02/2019,1003263,Al-Ahli,6770,Al-Nassr,6780,51,96,108,13,9,1,202,2018,116,25,3,0,1,0,0,0,0,0,0,1,1,1,0,0,0,11,0,17,17,23,18,9,4,5,7,2,0,0,16,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,6,4,67.19%,94.12%,94.79%,85.19%,330,5,40.00%,4,25.00%,7,57.14%,3,100.00%,0
