Team,TeamId,Appearances,TimePlayed,Starts,SubstituteOn,SubstituteOff,Goals,FirstGoal,WinningGoal,ShotsOnTargetincgoals,ShotsOffTargetincwoodwork,BlockedShots,PenaltiesTaken,PenaltyGoals,PenaltiesSaved,PenaltiesOffTarget,PenaltiesNotScored,DirectFreekickGoals,DirectFreekickOnTarget,DirectFreekickOffTarget,BlockedDirectFreekick,GoalsfromInsideBox,ShotsOnfromInsideBox,ShotsOfffromInsideBox,BlockedShotsfromInsideBox,GoalsfromOutsideBox,ShotsOnTargetOutsideBox,ShotsOffTargetOutsideBox,BlockedShotsOutsideBox,HeadedGoals,HeadedShotsOnTarget,HeadedShotsOffTarget,HeadedBlockedShots,LeftFootGoals,LeftFootShotsOnTarget,LeftFootShotsOffTarget,LeftFootBlockedShots,RightFootGoals,RightFootShotsOnTarget,RightFootShotsOffTarget,RightFootBlockedShots,OtherGoals,OtherShotsOnTarget,OtherShotsOffTarget,OtherBlockedShots,ShotsClearedoffLine,ShotsClearedoffLineInsideArea,ShotsClearedoffLineOutsideArea,GoalsOpenPlay,GoalsfromCorners,GoalsfromThrows,GoalsfromDirectFreeKick,GoalsfromSetPlay,Goalsfrompenalties,AttemptsOpenPlayontarget,AttemptsfromCornersontarget,AttemptsfromThrowsontarget,AttemptsfromDirectFreeKickontarget,AttemptsfromSetPlayontarget,AttemptsfromPenaltiesontarget,AttemptsOpenPlayofftarget,AttemptsfromCornersofftarget,AttemptsfromThrowsofftarget,AttemptsfromDirectFreeKickofftarget,AttemptsfromSetPlayofftarget,AttemptsfromPenaltiesofftarget,Goalsasasubstitute,TotalSuccessfulPassesAll,TotalUnsuccessfulPassesAll,Assists,KeyPasses,TotalSuccessfulPassesExclCrossesCorners,TotalUnsuccessfulPassesExclCrossesCorners,SuccessfulPassesOwnHalf,UnsuccessfulPassesOwnHalf,SuccessfulPassesOppositionHalf,UnsuccessfulPassesOppositionHalf,SuccessfulPassesDefensivethird,UnsuccessfulPassesDefensivethird,SuccessfulPassesMiddlethird,UnsuccessfulPassesMiddlethird,SuccessfulPassesFinalthird,UnsuccessfulPassesFinalthird,SuccessfulShortPasses,UnsuccessfulShortPasses,SuccessfulLongPasses,UnsuccessfulLongPasses,SuccessfulFlickOns,UnsuccessfulFlickOns,SuccessfulCrossesCorners
Al-Ahli,6770,23,2070,253,67,67,46,12,12,124,148,55,7,7,0,0,0,0,5,5,9,42,95,95,17,4,29,53,38,9,24,43,2,14,29,35,17,22,71,70,36,0,0,0,0,3,3,0,31,4,1,0,2,7,90,9,3,5,5,7,107,17,4,5,10,0,7,9243,2147,29,206,9025,1825,4377,398,4547,1376,1820,112,5149,716,1955,942,8304,1227,721,598,29,50,118
Al-Baten,9623,24,2160,264,69,69,23,7,6,98,88,56,3,2,1,0,1,1,11,10,7,17,64,39,30,6,34,49,26,1,17,21,4,3,12,14,10,18,69,52,42,0,0,1,0,6,6,0,14,2,2,1,1,2,52,11,5,11,13,3,53,9,0,10,14,0,3,5385,2296,14,155,5217,2066,2513,526,2584,1479,1145,128,2704,889,1248,941,4590,1202,627,864,26,58,79
Al-Faisaly,6777,24,2160,264,62,62,39,11,9,107,121,71,6,4,1,1,2,4,8,5,4,32,76,71,42,7,31,50,29,8,15,28,5,8,29,31,22,23,63,62,44,0,0,0,0,3,3,0,23,5,1,4,2,4,68,13,2,8,4,5,77,21,1,5,16,1,3,7970,2138,25,200,7763,1873,3817,459,3789,1370,1625,142,4281,756,1700,902,7068,1191,695,682,21,33,92
Al-Fateh,6772,24,2160,264,71,71,29,12,8,93,113,61,9,8,0,1,1,1,8,5,5,23,61,70,30,6,32,43,31,4,13,27,3,4,15,17,17,20,65,69,41,0,0,0,0,0,0,0,15,3,1,1,0,8,64,6,1,8,3,8,83,16,1,5,7,1,5,6250,2309,12,176,6052,2009,2939,499,3029,1400,1399,173,2990,721,1579,1000,5387,1166,665,843,35,61,96
Al-Feiha,10483,23,2070,253,67,67,21,7,5,70,113,52,2,2,0,0,0,1,5,15,4,18,49,47,22,3,21,66,30,3,10,16,5,7,19,23,19,8,41,74,28,0,0,0,0,0,0,0,12,2,0,1,2,2,52,7,0,5,2,2,81,9,0,15,7,0,2,6221,2142,13,162,6067,1911,2951,442,3004,1366,1131,142,3522,765,1302,892,5444,1096,623,815,22,52,72
Al-Hazm,6846,24,2160,264,68,68,27,7,5,107,115,60,3,3,0,0,0,0,6,6,5,24,65,60,33,3,42,55,27,5,18,21,1,7,26,28,18,14,63,65,41,0,0,1,0,0,0,0,18,2,1,0,2,3,79,5,3,6,9,3,79,17,1,6,11,0,3,5658,2456,18,178,5441,2117,2536,575,2800,1467,1053,164,2855,940,1428,920,4785,1282,656,835,41,69,103
Al-Hilal,1317,23,2070,253,62,62,56,20,17,147,163,69,12,11,0,1,1,0,7,5,3,54,108,99,38,2,39,64,31,5,21,36,10,17,31,31,17,34,94,95,42,0,1,1,0,1,1,0,39,6,0,0,0,11,103,18,0,7,3,11,114,30,1,5,9,1,4,10831,2173,34,241,10598,1761,4561,386,5927,1343,1798,108,5776,698,2914,921,9914,1335,684,426,18,35,129
Al-Ittifaq,5680,24,2160,264,66,66,36,12,7,121,124,76,2,2,0,0,0,0,2,8,5,32,82,74,28,4,39,50,48,6,18,34,5,18,64,47,41,12,38,43,30,0,1,0,0,1,1,0,25,7,0,0,2,2,94,15,0,2,6,2,80,22,0,8,14,0,3,6965,2352,23,208,6778,2106,3569,554,3087,1475,1662,151,3490,880,1504,982,6072,1300,706,806,19,64,93
Al-Ittihad,1316,24,2160,264,68,68,27,6,5,120,155,97,3,2,1,0,1,0,2,7,8,25,79,84,39,2,41,71,58,7,23,40,6,4,29,49,31,15,68,66,59,0,0,0,1,4,4,0,22,1,0,0,1,2,98,9,1,2,4,3,108,29,0,7,11,0,3,8602,2292,21,260,8379,1931,3715,432,4545,1447,1472,103,4678,771,2110,992,7677,1276,702,655,18,37,109
Al-Nassr,6780,24,2160,264,66,66,49,18,15,131,131,85,5,5,0,0,0,1,6,9,4,44,93,77,43,5,38,54,42,7,16,29,1,10,26,23,20,29,87,77,64,1,2,2,0,4,4,0,36,3,0,1,2,5,99,10,0,6,9,5,92,19,2,9,8,0,4,9560,2388,35,211,9315,2010,4616,445,4574,1515,1875,129,5168,773,2147,1052,8696,1358,619,652,21,40,104
