Team,TeamId,PassBackward,PassLeft,PassRight,UnsuccessfulBallTouch,SuccessfulBallTouch,TakeOnsOverrun,CompId,SeasId,Touchesopenplayfinalthird,Touchesopenplayoppbox,Touchesopenplayoppsixyards,DeflectedGoals,DeflectedShots,GoalfrompassfromFK,GoalsfromdivingHeaders,GoalsVolleys,FastBreakGoals,FastBreakAttempts,BigChanceCreated,BigChancesScored,BigChancesOnTarget,BigChancesOffTarget,BigChancesBlocked,BigChancesFluffed,IntentionalAssist,IntentionalChancesCreated,SecondAssists,AttackingGroundDuelsWon,AttackingGroundDuelsLost,DefensiveGroundDuelsWon,DefensiveGroundDuelsLost,AttackingAerialDuelsWon,AttackingAerialDuelsLost,DefensiveAerialDuelsWon,DefensiveAerialDuelsLost,CrossesBlocked,StraightRedcard,RedCard2Yellows,TimesTackled,GoalkeeperSmother,SavesDiving,SavesFingertip,SavesParriedSafe,SavesParriedDanger,SavesStanding,SavesReaching,SavesStooping,SavesHands,SavesFeet,SavesBody,GKPickup,SavesCaught,SavesCollected,KeeperSweeperSuccessful,KeeperSweeperUnsuccessful,TotalShotsConceded,TotalBlockedShotsConceded,Xsuccessfulpassesforwards,Xsuccessfulpassesbackwards,Xsuccessfulpassesleft,Xsuccessfulpassesright,PassesReceived,LeftFootShots,ShootingAccuracyLeftFoot,RightFootShots,ShootingAccuracyRightFoot,GKLongDistribution,GKLongAccuracy,GKShortDistribution,GKShortAccuracy,SubPosition
Al-Ahli,6770,1505,2789,2794,329,221,53,202,2018,3108,493,32,3,3,0,0,1,3,11,38,25,35,17,2,0,25,145,1,472,456,436,349,127,150,168,112,36,2,1,408,0,33,0,32,13,26,7,18,78,4,2,134,9,30,1,0,227,72,66.36%,95.02%,91.75%,90.98%,9214,64,45.31%,141,50.35%,124,54.84%,133,100.00%,0
Al-Baten,9623,970,1432,1518,384,217,43,202,2018,2048,324,25,2,3,0,0,1,0,5,20,11,21,4,1,0,11,108,1,405,481,475,469,105,157,161,131,39,1,0,443,0,43,0,31,17,14,8,15,76,2,2,170,3,29,5,0,271,92,55.53%,92.89%,84.22%,82.28%,5362,26,46.15%,121,57.02%,230,50.87%,93,98.92%,0
Al-Faisaly,6777,1373,2314,2332,357,265,56,202,2018,2687,447,25,1,2,0,0,0,3,7,36,21,35,11,2,1,22,125,2,465,546,487,380,93,133,152,106,53,2,1,512,1,41,1,41,15,25,3,11,72,5,2,166,3,20,6,0,275,73,64.63%,94.39%,89.11%,88.29%,7946,60,48.33%,125,50.40%,173,57.23%,175,98.86%,0
Al-Fateh,6772,1068,1710,1931,316,253,54,202,2018,2494,403,21,2,1,0,0,3,3,3,19,16,23,11,2,0,8,99,0,366,429,477,400,124,202,156,127,38,1,1,408,0,33,1,36,12,23,5,23,74,7,2,188,3,32,1,0,248,77,59.18%,92.51%,84.56%,86.38%,6230,32,46.88%,134,48.51%,214,46.26%,88,98.86%,0
Al-Feiha,10483,1022,1842,1911,280,228,35,202,2018,2141,311,13,0,2,0,0,0,2,4,19,11,16,7,0,1,11,88,0,405,434,434,398,120,154,181,100,34,0,6,403,0,36,1,25,19,15,3,12,58,7,1,154,3,18,2,1,251,78,58.68%,93.05%,86.37%,87.13%,6203,42,45.24%,115,35.65%,219,47.49%,90,100.00%,0
Al-Hazm,6846,873,1646,1663,338,276,42,202,2018,2422,388,26,0,3,0,0,3,0,3,29,20,26,11,1,1,15,93,1,426,501,578,487,93,197,174,168,43,1,1,435,1,55,2,47,21,25,7,12,88,4,4,192,5,24,7,0,285,87,54.59%,92.55%,84.63%,84.19%,5636,54,48.15%,128,49.22%,177,48.02%,138,97.10%,0
Al-Hilal,1317,1707,3253,3300,340,230,45,202,2018,4282,598,41,3,8,0,0,9,2,9,43,38,50,16,2,1,30,177,6,484,554,433,354,119,123,195,111,25,3,3,466,0,19,0,11,7,7,0,11,34,2,1,130,3,16,4,1,155,51,71.81%,95.84%,91.36%,92.12%,10813,62,50.00%,189,49.74%,93,61.29%,157,100.00%,0
Al-Ittifaq,5680,1247,1998,1917,317,227,45,202,2018,2388,367,23,1,2,0,0,1,0,3,31,17,32,13,0,0,19,122,3,369,504,566,521,129,191,197,145,39,3,2,450,0,40,0,36,9,19,4,11,65,5,4,172,1,28,6,0,260,97,59.51%,93.34%,87.79%,86.12%,6953,111,57.66%,81,46.91%,194,52.06%,119,96.64%,0
Al-Ittihad,1316,1347,2541,2526,332,295,53,202,2018,3195,472,27,0,2,0,0,0,1,4,31,15,27,11,4,0,14,114,1,457,502,501,433,107,169,201,127,21,2,1,444,0,27,0,28,14,17,4,22,63,6,1,134,5,23,3,0,223,65,65.09%,94.43%,91.15%,89.31%,8585,78,37.18%,134,50.75%,151,55.63%,149,100.00%,0
Al-Nassr,6780,1573,2724,2897,296,236,50,202,2018,3431,592,30,2,6,0,0,2,1,4,47,27,40,20,5,0,27,152,2,501,565,466,401,119,127,184,114,26,1,1,484,0,28,1,31,6,11,7,15,54,4,2,153,1,22,8,0,193,43,67.06%,95.61%,89.39%,89.82%,9542,49,53.06%,164,53.05%,140,57.14%,186,100.00%,0
Al-Quadisiya,6775,1301,2173,2264,326,227,60,202,2018,2644,348,26,1,1,0,0,2,3,4,23,16,21,9,0,0,17,100,3,340,466,477,456,110,187,177,126,45,2,1,427,0,28,0,29,11,37,3,19,77,6,3,179,7,40,2,1,281,82,62.26%,94.62%,88.45%,88.12%,7611,76,44.74%,84,44.05%,234,46.58%,134,100.00%,0
Al-Raed,6773,1111,2058,2122,298,212,55,202,2018,2706,424,31,1,1,0,0,1,0,5,23,15,20,11,4,0,12,116,3,403,450,495,422,123,197,151,116,44,2,1,417,0,42,0,33,21,18,5,17,75,5,2,169,5,23,7,1,265,78,62.13%,93.43%,85.47%,87.51%,7058,50,38.00%,112,52.68%,168,42.26%,137,99.27%,0
Al-Shabab,6774,1253,1989,2003,316,242,40,202,2018,3192,466,29,3,5,0,0,3,2,7,37,15,32,9,3,1,20,141,2,426,446,510,444,106,192,146,96,43,4,1,390,1,31,0,17,18,22,7,8,61,4,0,180,7,26,4,2,199,54,60.39%,94.57%,87.88%,86.72%,7032,59,49.15%,176,50.57%,157,50.32%,126,99.21%,0
Al-Taawon,6778,1338,2261,2260,321,230,54,202,2018,3233,628,35,3,0,0,0,4,2,4,42,29,45,12,4,0,28,161,5,437,466,429,432,149,167,176,123,19,0,3,379,0,34,1,22,12,15,6,7,56,3,3,194,3,24,16,2,201,33,61.85%,94.62%,86.82%,85.27%,7806,79,36.71%,160,54.37%,146,60.27%,141,98.58%,0
Al-Wahda,6847,1384,2425,2388,309,233,47,202,2018,2844,362,38,1,5,0,0,2,2,10,33,20,30,16,0,0,17,111,2,430,458,505,461,131,182,166,92,30,0,0,437,1,39,1,30,11,21,4,14,73,2,3,162,2,34,9,1,221,63,64.24%,95.38%,90.14%,89.95%,8131,43,46.51%,146,42.47%,174,57.47%,118,100.00%,0
Ohod,9624,1168,1768,1859,353,275,29,202,2018,2447,357,18,3,1,0,0,1,1,3,15,8,16,8,2,0,7,106,0,408,455,451,395,131,207,165,111,36,2,1,414,0,38,2,37,8,23,6,2,60,7,2,181,5,17,7,0,243,64,60.64%,93.92%,85.12%,86.82%,6502,62,38.71%,98,39.80%,151,58.28%,132,97.73%,0
