Date,Matchid,PlayerID,Team,TeamId,Opposition,Oppositionid,Venue,PositionId,Appearances,TimePlayed,Starts,SubstituteOn,SubstituteOff,Goals,FirstGoal,WinningGoal,ShotsOnTargetincgoals,ShotsOffTargetincwoodwork,BlockedShots,DirectFreekickOnTarget,DirectFreekickOffTarget,BlockedDirectFreekick,GoalsfromInsideBox,ShotsOnfromInsideBox,ShotsOfffromInsideBox,BlockedShotsfromInsideBox,GoalsfromOutsideBox,ShotsOnTargetOutsideBox,ShotsOffTargetOutsideBox,BlockedShotsOutsideBox,HeadedGoals,HeadedShotsOnTarget,HeadedShotsOffTarget,HeadedBlockedShots,LeftFootGoals,LeftFootShotsOnTarget,LeftFootShotsOffTarget,LeftFootBlockedShots,RightFootGoals,RightFootShotsOnTarget,RightFootShotsOffTarget,RightFootBlockedShots,GoalsOpenPlay,GoalsfromCorners,Goalsfrompenalties,AttemptsOpenPlayontarget,AttemptsfromCornersontarget,AttemptsfromDirectFreeKickontarget,AttemptsfromSetPlayontarget,AttemptsfromPenaltiesontarget,AttemptsOpenPlayofftarget,AttemptsfromCornersofftarget,AttemptsfromDirectFreeKickofftarget,AttemptsfromSetPlayofftarget,Goalsasasubstitute,TotalSuccessfulPassesAll,TotalUnsuccessfulPassesAll,Assists,KeyPasses,TotalSuccessfulPassesExclCrossesCorners,TotalUnsuccessfulPassesExclCrossesCorners,SuccessfulPassesOwnHalf,UnsuccessfulPassesOwnHalf,SuccessfulPassesOppositionHalf,UnsuccessfulPassesOppositionHalf,SuccessfulPassesDefensivethird,UnsuccessfulPassesDefensivethird,SuccessfulPassesMiddlethird,UnsuccessfulPassesMiddlethird,SuccessfulPassesFinalthird,UnsuccessfulPassesFinalthird,SuccessfulShortPasses,UnsuccessfulShortPasses,SuccessfulLongPasses,UnsuccessfulLongPasses,SuccessfulFlickOns,UnsuccessfulFlickOns,SuccessfulCrossesCorners
03/02/2019,1003245,217610,Ohod,9624,Al-Ittifaq,5680,Home,2,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,0,1,15,8,10,2,5,6,4,0,9,2,2,6,12,2,3,6,0,0,2
09/03/2019,1003282,217610,Ohod,9624,Al-Hazm,6846,Away,2,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,14,0,2,32,9,20,3,12,6,12,0,14,6,6,3,25,7,7,2,0,0,1
19/10/2018,1003150,109816,Ohod,9624,Al-Ittihad,1316,Away,1,1,69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,0,0,8,14,3,1,2,9,3,0,1,6,1,4,4,0,4,14,0,0,0
15/12/2018,1003207,148503,Al-Ahli,6770,Al-Shabab,6774,Home,4,1,61,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0,2,28,4,6,0,22,4,3,0,13,0,12,4,28,4,0,0,0,0,0
05/10/2018,1003142,148503,Al-Ahli,6770,Al-Faisaly,6777,Home,4,1,72,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37,5,0,1,37,5,8,1,29,4,0,0,20,2,17,3,37,5,0,0,0,0,0
29/09/2018,1003246,148503,Al-Ahli,6770,Al-Baten,9623,Home,4,1,90,1,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,62,12,0,1,62,12,26,1,36,11,14,0,30,2,18,10,59,10,3,2,0,0,0
28/12/2018,1003222,148503,Al-Ahli,6770,Al-Wahda,6847,Away,6,1,90,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,45,10,0,1,45,10,12,0,33,10,2,0,27,1,16,9,44,6,1,4,1,1,0
21/09/2018,1003126,148503,Al-Ahli,6770,Al-Hazm,6846,Home,4,1,74,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,41,7,0,0,40,6,25,2,15,4,10,0,21,3,9,3,39,6,1,0,1,1,1
22/02/2019,1003270,217610,Ohod,9624,Al-Wahda,6847,Away,2,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,7,0,0,36,6,21,1,15,5,5,0,26,3,5,3,34,1,2,5,0,0,0
14/02/2019,1003257,217610,Ohod,9624,Al-Taawon,6778,Away,2,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,14,0,0,39,9,18,1,21,8,7,0,25,5,7,4,35,5,4,4,0,0,0
