Date,Matchid,PlayerID,PlayerSurname,PlayerForename,Team,TeamId,PassBackward,PassLeft,PassRight,UnsuccessfulBallTouch,SuccessfulBallTouch,TakeOnsOverrun,CompId,SeasId,Touchesopenplayfinalthird,Touchesopenplayoppbox,Touchesopenplayoppsixyards,DeflectedGoals,DeflectedShots,GoalfrompassfromFK,GoalsfromdivingHeaders,GoalsVolleys,FastBreakGoals,FastBreakAttempts,BigChanceCreated,BigChancesScored,BigChancesOnTarget,BigChancesOffTarget,BigChancesBlocked,BigChancesFluffed,IntentionalAssist,IntentionalChancesCreated,SecondAssists,AttackingGroundDuelsWon,AttackingGroundDuelsLost,DefensiveGroundDuelsWon,DefensiveGroundDuelsLost,AttackingAerialDuelsWon,AttackingAerialDuelsLost,DefensiveAerialDuelsWon,DefensiveAerialDuelsLost,CrossesBlocked,StraightRedcard,RedCard2Yellows,TimesTackled,GoalkeeperSmother,SavesDiving,SavesFingertip,SavesParriedSafe,SavesParriedDanger,SavesStanding,SavesReaching,SavesStooping,SavesHands,SavesFeet,SavesBody,GKPickup,SavesCaught,SavesCollected,KeeperSweeperSuccessful,KeeperSweeperUnsuccessful,TotalShotsConceded,TotalBlockedShotsConceded,Xsuccessfulpassesforwards,Xsuccessfulpassesbackwards,Xsuccessfulpassesleft,Xsuccessfulpassesright,PassesReceived,LeftFootShots,ShootingAccuracyLeftFoot,RightFootShots,ShootingAccuracyRightFoot,GKLongDistribution,GKLongAccuracy,GKShortDistribution,GKShortAccuracy,SubPosition
28/12/2018 0:00,100322200,14850300,Abdallah El Said,,Al-Ahli,677000,1200.0,1600,1600.0,300,200,0,20200,201800,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,100,0,100,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4545,10000,8125,9375,5500,0,0,100,10000,0,0,0,0,0
21/09/2018 0:00,100312600,14850300,Abdallah El Said,,Al-Ahli,677000,1200.0,1200,1400.0,0,100,100,20200,201800,1400,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,200,100,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3750,10000,10000,9286,4000,0,0,100,0,0,0,0,0,0
22/02/2019 0:00,100327000,21761000,Abdelrazzak,Ghazi,Ohod,962400,300.0,100,1100.0,100,400,0,20200,201800,700,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,200,200,200,0,0,0,200,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8889,10000,10000,7273,3100,0,0,0,0,0,0,0,0,0
14/02/2019 0:00,100325700,21761000,Abdelrazzak,Ghazi,Ohod,962400,800.0,100,1700.0,0,200,0,20200,201800,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,100,300,100,0,100,0,100,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6364,10000,10000,9412,3400,0,0,0,0,0,0,0,0,0
28/02/2019 0:00,100327700,21761000,Abdelrazzak,Ghazi,Ohod,962400,400.0,100,1200.0,0,100,0,20200,201800,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,100,0,600,200,0,0,200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,10000,10000,9167,2400,0,0,0,0,0,0,0,0,0
25/11/2018 0:00,100318300,14850300,Abdallah El Said,,Al-Ahli,677000,1000.0,500,1000.0,100,0,0,20200,201800,1700,100,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,0,0,100,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,9000,8000,7000,2200,100,10000,100,10000,0,0,0,0,1000
20/10/2018 0:00,100315100,14850300,Abdallah El Said,,Al-Ahli,677000,500.0,1000,1200.0,100,100,100,20200,201800,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,200,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6818,10000,10000,10000,4400,0,0,100,0,0,0,0,0,0
09/11/2018 0:00,100317300,14850300,Abdallah El Said,,Al-Ahli,677000,800.0,900,400.0,200,200,0,20200,201800,2000,500,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,100,400,100,0,0,100,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,8750,8889,10000,3300,100,0,200,5000,0,0,0,0,0
30/11/2018 0:00,100318900,14850300,Abdallah El Said,,Al-Ahli,677000,1700.0,1400,700.0,400,200,100,20200,201800,3400,700,300,0,0,0,0,0,0,0,400,0,0,200,0,0,100,400,0,200,100,0,300,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6667,10000,8571,10000,5000,0,0,100,0,0,0,0,0,0
08/12/2018 0:00,100319600,14850300,Abdallah El Said,,Al-Ahli,677000,800.0,700,700.0,0,0,0,20200,201800,1400,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,8750,8571,7143,2500,0,0,100,10000,0,0,0,0,0
