"Player ID","Team","Position","Total Passes ( All )","Total Successful Passes ( All )","Total Unsuccessful Passes ( All )","Passing Accuracy ( All )","Assists","Key Passes","Total Passes ( Excl Crosses & Corners )","Total Successful Passes ( Excl Crosses & Corners )","Total Unsuccessful Passes ( Excl Crosses & Corners )","Passing Accuracy ( Excl Crosses & Corners )","Passes Attempted Own Half","Successful Passes Own Half","Unsuccessful Passes Own Half","Accuracy Own Half","Passes Attempted Opposition Half","Successful Passes Opposition Half","Unsuccessful Passes Opposition Half","Passing Accuracy Opposition Half","% Passes Own Half","% Passes Opposition Half","Passes Attempted Defensive third","Successful Passes Defensive third","Unsuccessful Passes Defensive third","Passing Accuracy Defensive third","Passes Attempted Middle third","Successful Passes Middle third","Unsuccessful Passes Middle third","Passing Accuracy Middle third","Passes Attempted Final third","Successful Passes Final third","Unsuccessful Passes Final third","Passing Accuracy Final third","% Passes in Defensive third","% Passes in Middle third","% Passes in Attacking third","Short Passes Attempted","Successful Short Passes","Unsuccessful Short Passes","Short Pass Accuracy","Long Passes Attempted","Successful Long Passes","Unsuccessful Long Passes","Long Pass Accuracy","% Passes Short","% Passes Long","Total Flick-Ons","Successful Flick-Ons","Unsuccessful Flick-Ons","Flick-on Success Rate","Crosses & Corners Attempted","Successful Crosses & Corners","Unsuccessful Crosses & Corners","Crosses & Corners Accuracy","Crosses Attempted","Successful Crosses","Unsuccessful Crosses","Cross Completion Rate","Corners Taken (incl short corners)","Corners Conceded","Corners into Box","Successful Corners into Box","Unsuccessful Corners into Box","Corners into Box Accuracy","Short Corners","Throw Ins taken","Throw Ins to Own Player","Throw Ins to Opposition Player","Throw In Success Rate","Short Throw Ins","Long Throw Ins","Throw Ins Conceded","Dribbles Attempted","Successful Dribbles","Unsuccessful Dribbles","Dribble Success Rate","Dribbles and Runs Attempted","Successful Dribbles & Runs","Unsuccessful Dribbles & Runs","Dribble & Run Success Rate","Runs Attempted","Total Crosses & Corners (Left)","Successful Crosses & Corners (Left)","Unsuccessful Crosses & Corners (Left)","Crosses & Corners accuracy (Left)","Total Crosses (Left)","Successful Crosses (Left)","Unsuccessful Crosses (Left)","Crosses accuracy (Left)","Total Corners (Left)","Successful Corners (Left)","Unsuccessful Corners (Left)","Corners accuracy (Left)","Total Crosses & Corners (Right)","Successful Crosses & Corners (Right)","Unsuccessful Crosses & Corners (Right)","Crosses & Corners accuracy (Right)","Total Crosses (Right)","Successful Crosses (Right)","Unsuccessful Crosses (Right)","Crosses accuracy (Right)","Total Corners (Right)","Successful Corners (Right)","Unsuccessful Corners (Right)","Corners accuracy (Right)","Long Passes Attempted (Own Half)","Long Passes Attempted (Opp Half)","Long Passes Successful (Own Half)","Long Passes Successful (Opp Half)","Short Passes Attempted (Own Half)","Short Passes Attempted (Opp Half)","Short Passes Successful (Own Half)","Short Passes Successful (Opp Half)","Full Name","Intentional Assist","Long Balls","Successful Long Balls","Unsuccessful Long Balls","Long Ball Accuracy %","Successful Lay-Offs","Unsuccessful Lay-Offs","Through Ball","Crosses & Corners in the Air","Successful Crosses & Corners in the air","Unsuccessful Crosses & Corners in the air","Crossing accuracy","Crosses in the Air","Successful crosses in the air","Unsuccessful crosses in the air","Field134","Open Play Crosses","Successful open play crosses","Unsuccessful open play crosses","Open Play Cross %","Touches","Goal Assist (Corner)","Goal Assist (Free Kick)","Goal Assist (Throw In)","Goal Assist (Goal Kick)","Goal Assist (Set Piece)","Key Corner","Key Free Kick","Key Throw In","Key Goal Kick","Key Set Pieces","Chances Created","Chances created open play","Touches own half","Touches opposition half","Assists as Sub","Passes Received","Deep Crosses","Attacking Crosses","Touches in Opp Box","Big Chance Assist","Big Chance Created","Big Chance Converted %","Assist Dead Ball","Assist at Set Piece","Intentional Assists","Intentional Chances Created","Intentional Chances Created Open Play","Passes into Opp","Passes Switching Flank","Dribbles Own Half","Dribbles Opp Half","Pass Forward Own","Pass Backward Own","Pass Diagonal Own","Pass Forward Opp","Pass Backward Opp","Pass Diagonal Opp","Open Play Passes","Open Play Passes Success","Open Play Pass Accuracy","Fantasy Assist Pass Lost","Fantasy Assist Blocked Shot","Fantasy Assist Attempt Saved","Fantasy Assist Post","Fantasy Assist Free Kick Won","Fantasy Assist Handball Won","Fantasy Assist Own Goal","Fantasy Assist Penalty Won","DFL Assists","Possession Lost","Touches in Own Box"
464073.00,"Al-Raed","Midfielder",94.00,63.00,31.00,0.67,1.00,3.00,87.00,61.00,26.00,0.70,22.00,21.00,1.00,0.95,65.00,40.00,25.00,0.61,0.25,0.74,10.00,9.00,1.00,0.90,33.00,28.00,5.00,0.84,44.00,24.00,20.00,0.54,0.11,0.37,0.50,81.00,56.00,25.00,0.69,6.00,5.00,1.00,0.83,0.93,0.06,1.00,0.00,1.00,0.00,7.00,2.00,5.00,0.28,4.00,1.00,3.00,0.25,3.00,1.00,3.00,1.00,2.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,12.00,7.00,5.00,0.58,12.00,7.00,5.00,0.58,,7.00,2.00,5.00,0.28,4.00,1.00,3.00,0.25,3.00,1.00,2.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,2.00,4.00,1.00,18.00,63.00,17.00,39.00,"Abdullah Almogren",1.00,2.00,2.00,0.00,1.00,1.00,0.00,1.00,7.00,2.00,5.00,0.28,4.00,1.00,3.00,0.25,2.00,0.00,2.00,0.00,148.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,4.00,3.00,43.00,105.00,1.00,69.00,0.00,4.00,12.00,1.00,1.00,1.00,0.00,0.00,1.00,3.00,2.00,5.00,0.00,2.00,10.00,6.00,4.00,12.00,28.00,9.00,28.00,85.00,59.00,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,46.00,2.00
464099.00,"Al-Faisaly","Defender",131.00,107.00,24.00,0.81,0.00,0.00,130.00,106.00,24.00,0.81,91.00,82.00,9.00,0.90,39.00,24.00,15.00,0.61,0.70,0.30,38.00,36.00,2.00,0.94,73.00,64.00,9.00,0.87,19.00,6.00,13.00,0.31,0.29,0.56,0.14,109.00,96.00,13.00,0.88,21.00,10.00,11.00,0.47,0.83,0.16,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,18.00,2.00,8.00,88.00,21.00,80.00,16.00,"Abdullah Hussein Hawsawi",0.00,7.00,1.00,6.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,172.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157.00,15.00,0.00,102.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,1.00,0.00,0.00,41.00,8.00,42.00,32.00,0.00,7.00,128.00,105.00,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,23.00
109963.00,"Al-Feiha","Defender",160.00,131.00,29.00,0.81,0.00,2.00,159.00,131.00,28.00,0.82,85.00,71.00,14.00,0.83,74.00,60.00,14.00,0.82,0.53,0.46,47.00,40.00,7.00,0.85,83.00,70.00,13.00,0.84,29.00,21.00,8.00,0.72,0.29,0.52,0.18,138.00,123.00,15.00,0.89,21.00,8.00,13.00,0.38,0.86,0.13,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,22.00,19.00,3.00,0.86,15.00,7.00,,4.00,1.00,3.00,0.25,4.00,1.00,3.00,0.25,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,7.00,14.00,3.00,5.00,78.00,60.00,68.00,55.00,"Abdullah Kano",0.00,11.00,1.00,10.00,0.09,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,263.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,177.00,86.00,0.00,107.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,1.00,1.00,3.00,30.00,20.00,35.00,38.00,4.00,31.00,153.00,126.00,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,19.00
159492.00,"Al-Nassr","Defender",233.00,198.00,35.00,0.84,0.00,1.00,230.00,198.00,32.00,0.86,148.00,137.00,11.00,0.92,82.00,61.00,21.00,0.74,0.64,0.35,74.00,70.00,4.00,0.94,134.00,119.00,15.00,0.88,22.00,9.00,13.00,0.40,0.32,0.58,0.09,210.00,191.00,19.00,0.90,20.00,7.00,13.00,0.35,0.91,0.08,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,3.00,0.00,3.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,8.00,6.00,2.00,0.75,6.00,2.00,,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,,3.00,0.00,3.00,0.00,3.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,14.00,3.00,4.00,142.00,68.00,134.00,57.00,"Abdullah Madu",0.00,3.00,0.00,3.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,3.00,0.00,3.00,0.00,3.00,0.00,3.00,0.00,284.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,227.00,57.00,0.00,171.00,1.00,2.00,4.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,30.00,1.00,0.00,1.00,51.00,16.00,81.00,50.00,2.00,30.00,223.00,191.00,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,18.00
433461.00,"Ohod","Defender",40.00,31.00,9.00,0.77,0.00,0.00,40.00,31.00,9.00,0.77,20.00,18.00,2.00,0.90,20.00,13.00,7.00,0.65,0.50,0.50,11.00,10.00,1.00,0.90,20.00,16.00,4.00,0.80,9.00,5.00,4.00,0.55,0.27,0.50,0.22,35.00,28.00,7.00,0.80,5.00,3.00,2.00,0.60,0.87,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3.00,1.00,2.00,18.00,17.00,17.00,11.00,"Abdullah Magrashi",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,17.00,0.00,27.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,0.00,1.00,4.00,3.00,13.00,12.00,1.00,7.00,40.00,31.00,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00
433461.00,"Al-Ahli","Defender",38.00,34.00,4.00,0.89,0.00,0.00,38.00,34.00,4.00,0.89,23.00,20.00,3.00,0.86,15.00,14.00,1.00,0.93,0.60,0.39,13.00,12.00,1.00,0.92,21.00,19.00,2.00,0.90,4.00,3.00,1.00,0.75,0.34,0.55,0.10,32.00,30.00,2.00,0.93,6.00,4.00,2.00,0.66,0.84,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,4.00,1.00,3.00,21.00,11.00,19.00,11.00,"Abdullah Magrashi",0.00,2.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,12.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,1.00,4.00,18.00,7.00,0.00,8.00,37.00,33.00,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00
168414.00,"Al-Hilal","Midfielder",890.00,811.00,79.00,0.91,1.00,8.00,885.00,810.00,75.00,0.91,393.00,385.00,8.00,0.97,492.00,425.00,67.00,0.86,0.44,0.55,112.00,110.00,2.00,0.98,532.00,511.00,21.00,0.96,241.00,189.00,52.00,0.78,0.12,0.60,0.27,803.00,744.00,59.00,0.92,82.00,66.00,16.00,0.80,0.90,0.09,1.00,0.00,1.00,0.00,5.00,1.00,4.00,0.20,5.00,1.00,4.00,0.20,0.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,1.00,1.00,1.00,,7.00,5.00,2.00,0.71,7.00,5.00,2.00,0.71,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,1.00,4.00,0.20,5.00,1.00,4.00,0.20,0.00,0.00,0.00,0.00,23.00,59.00,23.00,43.00,370.00,433.00,362.00,382.00,"Abdullah Otayf",0.00,1.00,0.00,1.00,0.00,4.00,0.00,0.00,5.00,1.00,4.00,0.20,5.00,1.00,4.00,0.20,5.00,1.00,4.00,0.20,1001.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,9.00,505.00,496.00,0.00,770.00,4.00,1.00,5.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,2.00,81.00,10.00,2.00,5.00,71.00,55.00,267.00,201.00,16.00,275.00,864.00,790.00,0.91,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,97.00,15.00
424186.00,"Al-Ahli","Defender",135.00,94.00,41.00,0.69,0.00,2.00,121.00,92.00,29.00,0.76,65.00,55.00,10.00,0.84,56.00,37.00,19.00,0.66,0.53,0.46,29.00,25.00,4.00,0.86,63.00,50.00,13.00,0.79,29.00,17.00,12.00,0.58,0.23,0.52,0.23,105.00,86.00,19.00,0.81,16.00,6.00,10.00,0.37,0.86,0.13,0.00,0.00,0.00,0.00,14.00,2.00,12.00,0.14,14.00,2.00,12.00,0.14,0.00,3.00,0.00,0.00,0.00,0.00,0.00,29.00,22.00,7.00,0.75,17.00,12.00,,2.00,0.00,2.00,0.00,2.00,0.00,2.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,2.00,12.00,0.14,14.00,2.00,12.00,0.14,0.00,0.00,0.00,0.00,10.00,6.00,5.00,1.00,55.00,50.00,50.00,36.00,"Abdullah Tarmin",0.00,8.00,1.00,7.00,0.12,0.00,0.00,0.00,13.00,2.00,11.00,0.15,13.00,2.00,11.00,0.15,14.00,2.00,12.00,0.14,220.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,116.00,104.00,0.00,102.00,7.00,7.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,15.00,1.00,1.00,1.00,18.00,14.00,33.00,38.00,4.00,14.00,119.00,90.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.00,17.00
174834.00,"Al-Shabab","Midfielder",614.00,532.00,82.00,0.86,2.00,14.00,611.00,531.00,80.00,0.86,213.00,197.00,16.00,0.92,398.00,334.00,64.00,0.83,0.34,0.65,90.00,85.00,5.00,0.94,281.00,255.00,26.00,0.90,240.00,191.00,49.00,0.79,0.14,0.45,0.39,576.00,512.00,64.00,0.88,35.00,19.00,16.00,0.54,0.94,0.05,1.00,0.00,1.00,0.00,3.00,1.00,2.00,0.33,3.00,1.00,2.00,0.33,0.00,3.00,0.00,0.00,0.00,0.00,0.00,11.00,9.00,2.00,0.81,7.00,4.00,,36.00,22.00,14.00,0.61,36.00,22.00,14.00,0.61,,2.00,0.00,2.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,8.00,27.00,6.00,13.00,205.00,371.00,191.00,321.00,"Abdulmajeed Al-Sulaiheem",2.00,5.00,2.00,3.00,0.40,4.00,0.00,0.00,3.00,1.00,2.00,0.33,3.00,1.00,2.00,0.33,3.00,1.00,2.00,0.33,830.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,16.00,329.00,501.00,0.00,503.00,2.00,1.00,25.00,1.00,1.00,1.00,0.00,0.00,2.00,7.00,6.00,35.00,2.00,10.00,26.00,27.00,84.00,102.00,163.00,50.00,185.00,599.00,519.00,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,139.00,11.00
204199.00,"Al-Taawon","Midfielder",96.00,80.00,16.00,0.83,0.00,2.00,95.00,80.00,15.00,0.84,19.00,19.00,0.00,1.00,76.00,61.00,15.00,0.80,0.20,0.80,9.00,9.00,0.00,1.00,36.00,34.00,2.00,0.94,50.00,37.00,13.00,0.74,0.09,0.37,0.52,86.00,75.00,11.00,0.87,9.00,5.00,4.00,0.55,0.90,0.09,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,6.00,3.00,3.00,0.50,6.00,3.00,3.00,0.50,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,7.00,2.00,3.00,17.00,69.00,17.00,58.00,"Abdulmajeed Al-Swat",0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,129.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,30.00,99.00,0.00,85.00,0.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,7.00,1.00,3.00,3.00,1.00,9.00,9.00,34.00,7.00,35.00,91.00,77.00,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00
