Team id,Team Name,Games Played,Substitute On,Substitute Off,Goals,Shots On Target ( inc goals ),Shots Off Target (inc woodwork),Total Shots Attempted,Goals to Shots Ratio,Shooting Accuracy,Blocked Shots,Hit Woodwork,Penalties Taken,Penalty Goals,Penalties Saved,Penalties Off Target,Penalties Not Scored,Penalty Success Rate,Attempts from Direct Free-kick,Direct Free-kick Goals,Direct Free-kick On Target,Direct Free-kick Off Target,Goals to Direct Free-kick ratio,Direct Free-kick Accuracy,Blocked Direct Free-kick,Goals from Inside Box,Shots On from Inside Box,Shots Off from Inside Box,Shots from Inside Box,Goals to Shots ratio Inside Box,Shooting Accuracy Inside Box,% shots from Inside Box,% goals from Inside Box,Blocked Shots from Inside Box,Goals from Outside Box,Shots On Target Outside Box,Shots Off Target Outside Box,Shots from Outside Box,Goals to Shots ratio Outside Box,Shooting Accuracy Outside Box,% shots from Outside Box,% goals from Outside Box,Blocked Shots Outside Box,Headed Goals,Headed Shots On Target,Headed Shots Off Target,Headed Shots,Goals / Shots Ratio Headed,Shooting Accuracy Headed,Headed Blocked Shots,Left Foot Goals,Left Foot Shots On Target,Left Foot Shots Off Target,Left Foot Shots,Goals to Shots ratio Left Foot,Shooting Accuracy Left Foot,Left Foot Blocked Shots,Right Foot Goals,Right Foot Shots On Target,Right Foot Shots Off Target,Right Foot Shots,Goals to Shots ratio Right Foot,Shooting Accuracy Right Foot,Right Foot Blocked Shots,Other Goals,Other Shots On Target,Other Shots Off Target,Other Shots,Goals to Shots ratio Other,Shooting Accuracy Other,Other Blocked Shots,Shots Cleared off Line,Shots Cleared off Line Inside Area,Shots Cleared off Line Outside Area,Mishit Shots On Target,Mishit Shots On Target Inside Area,Mishit Shots On Target Outside Area,Shots On (Saved),Own Goals Conceded,Own Goals Accrued,Goals Open Play,Goals from Corners,Goals from Throws,Goals from Direct Free Kick,Goals from Set Play,Goals from penalties,Goals from Set Pieces %,Attempts Open Play,Attempts from Corners,Attempts from Throws,Attempts from Direct Free Kick,Attempts from Set Play,Attempts from Penalties,Attempts from Set Pieces %,Deflected Goals,Deflected Shots,Goals from diving Headers,Goals - Volleys,Goals as a substitute,Fast Break Goals,Fast Break Attempts,Big Chances Scored,Big Chances On Target,Big Chances Off Target,Big Chances Blocked,Big Chances Fluffed,Big Chance Conversion %,Shots Blocked by Own Player,Second Assists,Shots From 20m
6770.0,Al-Ahli,23.0,67.0,67.0,46.0,124.0,148.0,272.0,0.16,0.45,55.0,11.0,7.0,7.0,0.0,0.0,0.0,1.0,10.0,0.0,5.0,5.0,0.0,0.5,9.0,42.0,95.0,95.0,190.0,0.21,0.5,0.69,0.91,17.0,4.0,29.0,53.0,82.0,0.04,0.35,0.3,0.08,38.0,9.0,24.0,43.0,67.0,0.13,0.35,2.0,14.0,29.0,35.0,64.0,0.21,0.45,17.0,22.0,71.0,70.0,141.0,0.15,0.5,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,76.0,0.0,1.0,32.0,4.0,1.0,0.0,2.0,7.0,0.3,207.0,26.0,7.0,10.0,15.0,7.0,0.23,3.0,3.0,0.0,1.0,7.0,3.0,11.0,25.0,35.0,17.0,2.0,0.0,0.46,2.0,1.0,137.0
9623.0,Al-Baten,24.0,69.0,69.0,23.0,98.0,88.0,186.0,0.12,0.52,56.0,3.0,3.0,2.0,1.0,0.0,1.0,0.66,21.0,1.0,11.0,10.0,0.04,0.52,7.0,17.0,64.0,39.0,103.0,0.16,0.62,0.55,0.73,30.0,6.0,34.0,49.0,83.0,0.07,0.4,0.44,0.26,26.0,1.0,17.0,21.0,38.0,0.02,0.44,4.0,3.0,12.0,14.0,26.0,0.11,0.46,10.0,18.0,69.0,52.0,121.0,0.14,0.57,42.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,70.0,3.0,1.0,15.0,2.0,2.0,1.0,1.0,2.0,0.34,110.0,20.0,5.0,21.0,27.0,3.0,0.4,2.0,3.0,0.0,1.0,3.0,0.0,5.0,11.0,21.0,4.0,1.0,0.0,0.42,0.0,1.0,119.0
6777.0,Al-Faisaly,24.0,62.0,62.0,39.0,107.0,121.0,228.0,0.17,0.46,71.0,7.0,6.0,4.0,1.0,1.0,2.0,0.66,13.0,4.0,8.0,5.0,0.3,0.61,4.0,32.0,76.0,71.0,147.0,0.21,0.51,0.64,0.82,42.0,7.0,31.0,50.0,81.0,0.08,0.38,0.35,0.17,29.0,8.0,15.0,28.0,43.0,0.18,0.34,5.0,8.0,29.0,31.0,60.0,0.13,0.48,22.0,23.0,63.0,62.0,125.0,0.18,0.5,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,65.0,1.0,0.0,23.0,5.0,1.0,4.0,2.0,4.0,0.41,152.0,34.0,3.0,13.0,20.0,6.0,0.33,1.0,2.0,0.0,0.0,3.0,3.0,7.0,21.0,35.0,11.0,2.0,1.0,0.42,3.0,2.0,132.0
6772.0,Al-Fateh,24.0,71.0,71.0,29.0,93.0,113.0,206.0,0.14,0.45,61.0,2.0,9.0,8.0,0.0,1.0,1.0,0.88,12.0,1.0,8.0,4.0,0.08,0.66,5.0,23.0,61.0,70.0,131.0,0.17,0.46,0.63,0.79,30.0,6.0,32.0,43.0,75.0,0.08,0.42,0.36,0.2,31.0,4.0,13.0,27.0,40.0,0.1,0.32,3.0,4.0,15.0,17.0,32.0,0.12,0.46,17.0,20.0,65.0,69.0,134.0,0.14,0.48,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,1.0,1.0,16.0,3.0,1.0,1.0,0.0,8.0,0.44,150.0,22.0,2.0,12.0,11.0,9.0,0.27,2.0,1.0,0.0,3.0,5.0,3.0,3.0,16.0,23.0,11.0,2.0,0.0,0.44,4.0,0.0,123.0
10483.0,Al-Feiha,23.0,67.0,67.0,21.0,70.0,113.0,183.0,0.11,0.38,52.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,20.0,1.0,5.0,15.0,0.05,0.25,4.0,18.0,49.0,47.0,96.0,0.18,0.51,0.52,0.85,22.0,3.0,21.0,66.0,87.0,0.03,0.24,0.47,0.14,30.0,3.0,10.0,16.0,26.0,0.11,0.38,5.0,7.0,19.0,23.0,42.0,0.16,0.45,19.0,8.0,41.0,74.0,115.0,0.06,0.35,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,1.0,3.0,14.0,2.0,0.0,1.0,2.0,2.0,0.33,136.0,16.0,0.0,20.0,9.0,2.0,0.25,0.0,2.0,0.0,0.0,2.0,2.0,4.0,11.0,16.0,7.0,0.0,1.0,0.45,3.0,0.0,132.0
6846.0,Al-Hazm,24.0,68.0,68.0,27.0,107.0,115.0,222.0,0.12,0.48,60.0,8.0,3.0,3.0,0.0,0.0,0.0,1.0,12.0,0.0,6.0,6.0,0.0,0.5,5.0,24.0,65.0,60.0,125.0,0.19,0.52,0.56,0.88,33.0,3.0,42.0,55.0,97.0,0.03,0.43,0.43,0.11,27.0,5.0,18.0,21.0,39.0,0.12,0.46,1.0,7.0,26.0,28.0,54.0,0.12,0.48,18.0,14.0,63.0,65.0,128.0,0.1,0.49,41.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,2.0,1.0,19.0,2.0,1.0,0.0,2.0,3.0,0.29,161.0,22.0,4.0,12.0,20.0,3.0,0.27,0.0,3.0,0.0,3.0,3.0,0.0,3.0,20.0,26.0,11.0,1.0,1.0,0.51,3.0,1.0,141.0
1317.0,Al-Hilal,23.0,62.0,62.0,56.0,147.0,163.0,310.0,0.18,0.47,69.0,11.0,12.0,11.0,0.0,1.0,1.0,0.91,12.0,0.0,7.0,5.0,0.0,0.58,3.0,54.0,108.0,99.0,207.0,0.26,0.52,0.66,0.96,38.0,2.0,39.0,64.0,103.0,0.01,0.37,0.33,0.03,31.0,5.0,21.0,36.0,57.0,0.08,0.36,10.0,17.0,31.0,31.0,62.0,0.27,0.5,17.0,34.0,94.0,95.0,189.0,0.17,0.49,42.0,0.0,1.0,1.0,2.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,39.0,6.0,0.0,0.0,0.0,11.0,0.3,225.0,48.0,1.0,12.0,12.0,12.0,0.27,3.0,8.0,0.0,9.0,4.0,2.0,9.0,38.0,50.0,16.0,2.0,1.0,0.55,4.0,6.0,142.0
5680.0,Al-Ittifaq,24.0,66.0,66.0,36.0,121.0,124.0,245.0,0.14,0.49,76.0,7.0,2.0,2.0,0.0,0.0,0.0,1.0,10.0,0.0,2.0,8.0,0.0,0.2,5.0,32.0,82.0,74.0,156.0,0.2,0.52,0.63,0.88,28.0,4.0,39.0,50.0,89.0,0.04,0.43,0.36,0.11,48.0,6.0,18.0,34.0,52.0,0.11,0.34,5.0,18.0,64.0,47.0,111.0,0.16,0.57,41.0,12.0,38.0,43.0,81.0,0.14,0.46,30.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,84.0,1.0,0.0,25.0,7.0,0.0,0.0,2.0,2.0,0.3,176.0,37.0,0.0,10.0,20.0,2.0,0.28,1.0,2.0,0.0,1.0,3.0,0.0,3.0,17.0,32.0,13.0,0.0,0.0,0.37,5.0,3.0,159.0
1316.0,Al-Ittihad,24.0,68.0,68.0,27.0,120.0,155.0,275.0,0.09,0.43,97.0,12.0,3.0,2.0,1.0,0.0,1.0,0.66,9.0,0.0,2.0,7.0,0.0,0.22,8.0,25.0,79.0,84.0,163.0,0.15,0.48,0.59,0.92,39.0,2.0,41.0,71.0,112.0,0.01,0.36,0.4,0.07,58.0,7.0,23.0,40.0,63.0,0.11,0.36,6.0,4.0,29.0,49.0,78.0,0.05,0.37,31.0,15.0,68.0,66.0,134.0,0.11,0.5,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,90.0,0.0,1.0,23.0,1.0,0.0,0.0,1.0,2.0,0.14,209.0,38.0,1.0,9.0,15.0,3.0,0.24,0.0,2.0,0.0,0.0,3.0,1.0,4.0,15.0,27.0,11.0,4.0,0.0,0.35,1.0,1.0,196.0
6780.0,Al-Nassr,24.0,66.0,66.0,49.0,131.0,131.0,262.0,0.18,0.5,85.0,10.0,5.0,5.0,0.0,0.0,0.0,1.0,15.0,1.0,6.0,9.0,0.06,0.4,4.0,44.0,93.0,77.0,170.0,0.25,0.54,0.64,0.89,43.0,5.0,38.0,54.0,92.0,0.05,0.41,0.35,0.1,42.0,7.0,16.0,29.0,45.0,0.15,0.35,1.0,10.0,26.0,23.0,49.0,0.2,0.53,20.0,29.0,87.0,77.0,164.0,0.17,0.53,64.0,1.0,2.0,2.0,4.0,0.25,0.5,0.0,4.0,4.0,0.0,0.0,0.0,0.0,80.0,1.0,2.0,37.0,3.0,0.0,1.0,3.0,5.0,0.24,194.0,29.0,2.0,15.0,17.0,5.0,0.25,2.0,6.0,0.0,2.0,4.0,1.0,4.0,27.0,40.0,20.0,5.0,0.0,0.41,3.0,2.0,149.0
