Team id,Team Name,Tackles Attempted,Tackles Won,Tackles Lost,Tackle Success Rate,Last Man Tackle,Times Tackled,Tackled & Possesion Retained,Tackled & Possesion Lost,Tackled & Possesion Retained %,Total Clearances,Headed Clearances,Other Clearances,Clearances Off the Line,Blocks,Shots Blocked,Shots Blocked Inside Box,Shots Blocked Outside Box,% Shots Blocked Inside Box,% Shots Blocked Outside Box,Shots Blocked from Own Team,Crosses Blocked,Interceptions,Clearances_ Blocks & Interceptions,Successful First Touch,Unsuccessful First Touch,Total Free Kicks Conceded (inc offsides),Total Fouls Conceded,Fouls Conceded (exc handballs & pens),Fouls Conceded (not danger area),Fouls Conceded in the Danger Area (inc pens),Total Fouls Won,Fouls Won in Danger Area (inc pens),Fouls Won (not in danger area),Foul Won Penalty,Handballs Conceded,Handballs Conceded in Danger Area (inc pens),Penalties Conceded,Offsides,Yellow Cards,Red Cards,Disciplinary Points,Error Leading to Goal,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves to Shots Ratio,Saves to Shots ratio Inside Box,Saves to Shots ratio Outside Box,Saves from Penalty,Saves from Set Piece,Goalkeeper Smother,Catches,Punches,Drops,Crosses not Claimed,Catch Success Rate,GK Distribution,GK Successful Distribution,GK Unsuccessful Distribution,GK Accuracy,GK Long Distribution,GK Successful Long Distribution,GK Unsuccessful Long Distribution,GK Long Accuracy,GK Short Distribution,GK Successful Short Distribution,GK Unsuccessful Short Distribution,GK Short Accuracy,Clean Sheets,Shots On Conceded,Shots On Conceded Inside Box,Shots On Conceded Outside Box,% Shots On Conceded Inside Box,% Shots On Conceded Outside Box,GK - Pick up,Field82,Error leading to Attempt,Opponents caught offside,Recoveries,Challenge Lost,Yellow - Foul,Yellow - Persistent offences,Yellow - Handball,Yellow - Dangerous Play,Yellow - Time wasting,Yellow - Dissent,Yellow - Foul language,Yellow - Simulation,Yellow - removing shirt,Yellow - encroaching,Yellow - Leaving/Entering field of play,Red - Violent Conduct,Red - Spitting,Red - Professional foul,Red - Handball on the line,Red - Dissent,Red - Foul Language,Field104,Field105,Field106,Field107,Field108,Blocks (Own Player),Fouls Won,Fouls Conceded,Six Second Violations Won,Six Second Violations Conceded,Dives Conceded,Dives Won,Back Passes Won,Back Passes Conceded,Opponent Yellows,Opponent 2nd Yellow,Opponent Reds,Opposition hits woodwork,Shield Ball out of play,Blocked Cross,Total Shots Conceded,Total Blocked Shots Conceded,Recoveries in Opp Half,Goals Conceded from Fast Break,Attempts Conceded from Fast Break,Big Chances Faced,Big Chance Goals Conceded,Big Chance Saved,Big Chance Missed,Big Chance Prevention %,Shots on allowed from open play,Shots on allowed from set play,Total Shots allowed from open play,Total Shots allowed from set play,Headers won own box,Headers lost own box,% Headers won own box,Headers won opp box,Headers lost opp box,% Headers won opp box,GK Kick from Hands Success,GK Kick from Hands Failed,Aerial Foul Conceded,Aerial Foul Won,Foul - Attemped Tackle,Fifty-Fifty,Fifty-Fifty Won,Put Through/Blocked Dist,Put Through/Blocked Dist Won,DFL Duels,DFL Duels Won,DFL Duels Success Rate
10483.0,Al-Feiha,360.0,265.0,95.0,0.73,0.0,403.0,130.0,273.0,0.32,479.0,177.0,302.0,3.0,74.0,,,,,,,,359.0,918.0,,,353.0,318.0,288.0,212.0,82.0,297.0,61.0,236.0,2.0,23.0,2.0,6.0,35.0,43.0,6.0,483.0,,41.0,36.0,5.0,66.0,45.0,21.0,0.61,0.55,0.8,0.0,5.0,0.0,3.0,7.0,1.0,0.0,0.9,309.0,194.0,115.0,0.62,219.0,104.0,115.0,0.47,90.0,90.0,0.0,1.0,2.0,109.0,83.0,26.0,0.76,0.23,154.0,2.0,2.0,47.0,1239.0,146.0,45.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,83.0,26.0,0.76,0.23,,297.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.0,0.0,8.0,9.0,34.0,251.0,78.0,210.0,2.0,12.0,60.0,24.0,14.0,22.0,0.36,82.0,27.0,170.0,78.0,174.0,84.0,0.67,51.0,116.0,0.3,12.0,46.0,11.0,18.0,196.0,0.0,0.0,326.0,145.0,2581.0,1303.0,0.5
6846.0,Al-Hazm,520.0,374.0,146.0,0.71,0.0,435.0,135.0,299.0,0.31,449.0,185.0,264.0,3.0,82.0,,,,,,,,395.0,932.0,,,415.0,359.0,331.0,249.0,86.0,350.0,73.0,277.0,3.0,21.0,7.0,8.0,56.0,44.0,2.0,503.0,,40.0,38.0,2.0,99.0,65.0,34.0,0.71,0.63,0.94,2.0,3.0,1.0,17.0,5.0,2.0,1.0,0.91,315.0,219.0,96.0,0.69,177.0,85.0,92.0,0.48,138.0,134.0,4.0,0.97,2.0,139.0,103.0,36.0,0.74,0.25,192.0,1.0,5.0,30.0,1473.0,226.0,35.0,0.0,1.0,0.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,139.0,103.0,36.0,0.74,0.25,,350.0,335.0,0.0,0.0,1.0,0.0,0.0,1.0,40.0,0.0,0.0,7.0,9.0,43.0,285.0,87.0,267.0,1.0,5.0,57.0,22.0,15.0,20.0,0.4,99.0,40.0,194.0,89.0,156.0,97.0,0.61,57.0,161.0,0.26,14.0,67.0,8.0,18.0,223.0,0.0,0.0,399.0,186.0,3049.0,1475.0,0.48
1317.0,Al-Hilal,424.0,270.0,154.0,0.63,0.0,466.0,136.0,329.0,0.29,280.0,130.0,150.0,3.0,45.0,,,,,,,,283.0,614.0,,,385.0,346.0,325.0,263.0,68.0,278.0,79.0,199.0,11.0,15.0,4.0,6.0,39.0,40.0,6.0,502.0,,24.0,21.0,3.0,37.0,21.0,16.0,0.6,0.5,0.84,0.0,3.0,0.0,6.0,3.0,0.0,0.0,1.0,250.0,214.0,36.0,0.85,93.0,57.0,36.0,0.61,157.0,157.0,0.0,1.0,6.0,64.0,45.0,19.0,0.7,0.29,130.0,2.0,1.0,80.0,1347.0,125.0,36.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,64.0,45.0,19.0,0.7,0.29,,278.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,3.0,1.0,4.0,3.0,25.0,155.0,51.0,311.0,0.0,0.0,26.0,15.0,5.0,6.0,0.25,40.0,24.0,96.0,56.0,112.0,53.0,0.67,102.0,221.0,0.31,4.0,15.0,14.0,9.0,195.0,0.0,0.0,350.0,128.0,2746.0,1368.0,0.49
5680.0,Al-Ittifaq,499.0,343.0,156.0,0.68,0.0,450.0,131.0,318.0,0.29,477.0,225.0,252.0,0.0,95.0,,,,,,,,365.0,937.0,,,433.0,390.0,369.0,275.0,100.0,315.0,64.0,251.0,1.0,14.0,5.0,7.0,43.0,64.0,5.0,612.0,,42.0,38.0,4.0,74.0,45.0,29.0,0.63,0.54,0.87,1.0,8.0,0.0,12.0,4.0,6.0,0.0,0.72,313.0,216.0,97.0,0.69,194.0,101.0,93.0,0.52,119.0,115.0,4.0,0.96,6.0,115.0,82.0,33.0,0.71,0.28,172.0,2.0,0.0,45.0,1360.0,212.0,52.0,0.0,0.0,0.0,5.0,10.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,115.0,82.0,33.0,0.71,0.28,,315.0,375.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,3.0,1.0,11.0,8.0,39.0,260.0,97.0,249.0,1.0,4.0,61.0,25.0,15.0,21.0,0.37,83.0,32.0,174.0,86.0,221.0,77.0,0.74,75.0,136.0,0.35,15.0,36.0,12.0,22.0,230.0,0.0,0.0,353.0,148.0,3009.0,1431.0,0.47
1316.0,Al-Ittihad,468.0,331.0,137.0,0.7,1.0,444.0,123.0,320.0,0.27,401.0,186.0,215.0,0.0,61.0,,,,,,,,327.0,789.0,,,404.0,367.0,339.0,276.0,69.0,338.0,88.0,250.0,3.0,20.0,3.0,6.0,37.0,48.0,3.0,529.0,,36.0,31.0,5.0,70.0,38.0,32.0,0.66,0.55,0.86,2.0,5.0,0.0,11.0,3.0,1.0,0.0,0.93,300.0,233.0,67.0,0.77,151.0,84.0,67.0,0.55,149.0,149.0,0.0,1.0,6.0,106.0,69.0,37.0,0.65,0.34,134.0,2.0,0.0,43.0,1446.0,164.0,41.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,106.0,69.0,37.0,0.65,0.34,,338.0,345.0,0.0,0.0,2.0,0.0,0.0,0.0,50.0,1.0,1.0,7.0,5.0,21.0,223.0,65.0,357.0,3.0,9.0,35.0,15.0,9.0,11.0,0.37,81.0,25.0,165.0,58.0,147.0,66.0,0.69,89.0,181.0,0.32,2.0,15.0,18.0,10.0,218.0,0.0,0.0,421.0,172.0,2946.0,1448.0,0.49
6780.0,Al-Nassr,422.0,298.0,124.0,0.7,0.0,484.0,134.0,349.0,0.27,342.0,146.0,196.0,1.0,40.0,,,,,,,,273.0,657.0,,,396.0,349.0,322.0,263.0,63.0,347.0,94.0,253.0,4.0,22.0,5.0,6.0,47.0,32.0,2.0,457.0,,21.0,20.0,1.0,61.0,35.0,26.0,0.74,0.63,0.96,0.0,9.0,0.0,15.0,5.0,1.0,0.0,0.95,326.0,266.0,60.0,0.81,140.0,80.0,60.0,0.57,186.0,186.0,0.0,1.0,10.0,82.0,55.0,27.0,0.67,0.32,153.0,0.0,2.0,41.0,1446.0,172.0,23.0,0.0,1.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,82.0,55.0,27.0,0.67,0.32,,347.0,326.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,4.0,3.0,3.0,11.0,26.0,193.0,43.0,343.0,1.0,7.0,27.0,12.0,5.0,10.0,0.29,53.0,29.0,136.0,56.0,135.0,57.0,0.7,77.0,222.0,0.25,7.0,11.0,16.0,19.0,173.0,0.0,0.0,363.0,159.0,2875.0,1448.0,0.5
6775.0,Al-Quadisiya,394.0,288.0,106.0,0.73,1.0,427.0,131.0,296.0,0.3,515.0,225.0,290.0,2.0,78.0,,,,,,,,327.0,924.0,,,373.0,322.0,303.0,223.0,83.0,281.0,52.0,229.0,1.0,14.0,3.0,4.0,51.0,47.0,3.0,481.0,,36.0,31.0,5.0,87.0,52.0,35.0,0.7,0.62,0.87,0.0,4.0,0.0,10.0,5.0,1.0,2.0,0.93,368.0,243.0,125.0,0.66,234.0,109.0,125.0,0.46,134.0,134.0,0.0,1.0,6.0,124.0,84.0,40.0,0.67,0.32,179.0,1.0,0.0,29.0,1270.0,204.0,36.0,0.0,0.0,1.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,124.0,84.0,40.0,0.67,0.32,,281.0,306.0,0.0,0.0,2.0,0.0,0.0,0.0,31.0,2.0,0.0,8.0,5.0,45.0,281.0,82.0,241.0,0.0,5.0,45.0,24.0,11.0,10.0,0.31,92.0,32.0,203.0,76.0,230.0,84.0,0.73,51.0,126.0,0.28,9.0,14.0,15.0,14.0,193.0,0.0,0.0,343.0,159.0,2711.0,1277.0,0.47
6773.0,Al-Raed,429.0,299.0,130.0,0.69,1.0,417.0,144.0,273.0,0.34,434.0,147.0,287.0,4.0,74.0,,,,,,,,328.0,844.0,,,342.0,308.0,288.0,212.0,78.0,336.0,91.0,245.0,4.0,16.0,2.0,3.0,34.0,38.0,3.0,440.0,,37.0,34.0,3.0,82.0,47.0,35.0,0.68,0.58,0.92,0.0,7.0,0.0,11.0,21.0,3.0,0.0,0.91,305.0,207.0,98.0,0.67,168.0,71.0,97.0,0.42,137.0,136.0,1.0,0.99,6.0,123.0,85.0,38.0,0.69,0.3,169.0,5.0,4.0,47.0,1354.0,175.0,29.0,0.0,1.0,1.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,123.0,85.0,38.0,0.69,0.3,,336.0,290.0,0.0,0.0,1.0,0.0,0.0,0.0,63.0,4.0,2.0,14.0,2.0,44.0,265.0,78.0,289.0,7.0,10.0,61.0,27.0,11.0,23.0,0.28,96.0,27.0,184.0,77.0,154.0,85.0,0.64,82.0,164.0,0.33,10.0,30.0,10.0,11.0,170.0,0.0,0.0,390.0,196.0,2768.0,1379.0,0.49
6774.0,Al-Shabab,458.0,290.0,168.0,0.63,0.0,390.0,120.0,270.0,0.3,360.0,142.0,218.0,1.0,52.0,,,,,,,,358.0,772.0,,,375.0,329.0,313.0,236.0,79.0,350.0,88.0,262.0,3.0,13.0,3.0,2.0,46.0,51.0,5.0,512.0,,16.0,14.0,2.0,68.0,37.0,31.0,0.8,0.72,0.93,0.0,7.0,1.0,11.0,2.0,4.0,1.0,0.76,283.0,204.0,79.0,0.72,157.0,79.0,78.0,0.5,126.0,125.0,1.0,0.99,9.0,84.0,51.0,33.0,0.6,0.39,180.0,1.0,0.0,34.0,1402.0,202.0,40.0,0.0,1.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,84.0,51.0,33.0,0.6,0.39,,350.0,315.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,0.0,3.0,5.0,5.0,43.0,199.0,54.0,275.0,0.0,0.0,35.0,9.0,11.0,15.0,0.55,58.0,26.0,125.0,73.0,139.0,79.0,0.63,62.0,209.0,0.22,13.0,44.0,17.0,18.0,195.0,0.0,0.0,383.0,181.0,2784.0,1387.0,0.49
6778.0,Al-Taawon,407.0,293.0,114.0,0.71,1.0,379.0,125.0,254.0,0.32,374.0,133.0,241.0,1.0,32.0,,,,,,,,323.0,731.0,,,432.0,388.0,368.0,287.0,84.0,322.0,108.0,214.0,11.0,16.0,4.0,3.0,44.0,48.0,3.0,550.0,,28.0,25.0,3.0,62.0,36.0,26.0,0.68,0.59,0.89,0.0,8.0,0.0,8.0,8.0,2.0,0.0,0.88,287.0,227.0,60.0,0.79,146.0,88.0,58.0,0.6,141.0,139.0,2.0,0.98,6.0,91.0,62.0,29.0,0.68,0.31,194.0,2.0,4.0,82.0,1418.0,159.0,39.0,1.0,1.0,0.0,3.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,62.0,29.0,0.68,0.31,,322.0,371.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0,2.0,2.0,6.0,4.0,19.0,201.0,33.0,380.0,1.0,3.0,46.0,21.0,13.0,12.0,0.38,65.0,26.0,138.0,62.0,127.0,68.0,0.65,74.0,199.0,0.27,19.0,14.0,11.0,14.0,228.0,0.0,0.0,348.0,163.0,2752.0,1368.0,0.49
6847.0,Al-Wahda,468.0,334.0,134.0,0.71,0.0,437.0,110.0,327.0,0.25,451.0,193.0,258.0,2.0,60.0,,,,,,,,308.0,823.0,,,360.0,318.0,299.0,235.0,69.0,285.0,58.0,227.0,3.0,14.0,2.0,5.0,41.0,40.0,0.0,439.0,,29.0,24.0,5.0,78.0,46.0,32.0,0.72,0.65,0.86,0.0,4.0,1.0,13.0,8.0,3.0,1.0,0.87,292.0,218.0,74.0,0.74,174.0,100.0,74.0,0.57,118.0,118.0,0.0,1.0,5.0,108.0,71.0,37.0,0.65,0.34,162.0,2.0,2.0,29.0,1400.0,191.0,27.0,0.0,1.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,71.0,37.0,0.65,0.34,,285.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,3.0,6.0,8.0,30.0,221.0,63.0,321.0,0.0,1.0,38.0,16.0,10.0,12.0,0.38,84.0,24.0,164.0,55.0,184.0,59.0,0.75,74.0,151.0,0.32,14.0,35.0,13.0,14.0,208.0,0.0,0.0,334.0,143.0,2786.0,1389.0,0.49
9624.0,Ohod,393.0,289.0,104.0,0.73,0.0,414.0,127.0,287.0,0.3,420.0,175.0,245.0,2.0,60.0,,,,,,,,323.0,807.0,,,374.0,330.0,302.0,226.0,85.0,321.0,70.0,251.0,0.0,19.0,3.0,9.0,44.0,50.0,3.0,498.0,,48.0,43.0,5.0,69.0,44.0,25.0,0.58,0.5,0.83,1.0,5.0,0.0,4.0,14.0,2.0,0.0,0.9,283.0,217.0,66.0,0.76,151.0,88.0,63.0,0.58,132.0,129.0,3.0,0.97,3.0,119.0,89.0,30.0,0.74,0.25,181.0,2.0,1.0,35.0,1375.0,146.0,44.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,119.0,89.0,30.0,0.74,0.25,,321.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,3.0,8.0,2.0,36.0,243.0,64.0,278.0,2.0,10.0,54.0,30.0,11.0,13.0,0.26,89.0,30.0,171.0,70.0,162.0,58.0,0.73,91.0,161.0,0.36,17.0,33.0,21.0,7.0,214.0,0.0,0.0,338.0,141.0,2689.0,1303.0,0.48
