Team id,Team Name,Shot Hit Woodwork_Inside_Header,Shot Hit Woodwork_Inside_Left,Shot Hit Woodwork_Inside_Right,Shot Hit Woodwork_Outside_Left,Shot Hit Woodwork_Outside_Right,Shot Hit Woodwork_Penalty_Right,Shot Hit Woodwork_Six Yard_Header,Shot Hit Woodwork_Six Yard_Right,Shot off (GK Saved)_ Six Yard_Header,Shot Off (GK Saved)_Inside_Header,Shot Off (GK Saved)_Inside_Left,Shot Off (GK Saved)_Inside_Right,Shot Off (GK Saved)_Outside_Left,Shot Off (GK Saved)_Outside_Right,Shot Off_Inside_Header,Shot Off_Inside_Left,Shot Off_Inside_Other,Shot Off_Inside_Right,Shot Off_Outside_Header,Shot Off_Outside_Left,Shot Off_Outside_Right,Shot Off_Set Piece_Left,Shot Off_Set Piece_Right,Shot Off_Six Yard_Header,Shot Off_Six Yard_Left,Shot Off_Six Yard_Other,Shot Off_Six Yard_Right,Shot On_Inside_Header,Shot On_Inside_Left,Shot On_Inside_Right,Shot On_Outside_Header,Shot On_Outside_Left,Shot On_Outside_Right,Shot On_Set Piece_Left,Shot On_Set Piece_Right,Shot On_Six Yard_Header,Shot On_Six Yard_Left,Shot On_Six Yard_Other,Shot On_Six Yard_Right,Substitution (Off),Substitution (On),Tackle_ Opposition retained Possession,Tackle_ Own Team Gained Possession,Tackled_Opposition Gained Possession,Tackled_Own Team Retained Possession,Throw in_ long to own player,Throw in_ short to own player,Throw in_long to opp player,Throw in_short to opp player,Winning Goal,Yellow Card - Dissent,Yellow Card - Foul,Yellow Card - Handball,Duels,Duels won,Duels lost,Duels won %,Aerial Duels,Aerial Duels won,Aerial Duels lost,Aerial Duels won %,Ground Duels,Ground Duels won,Ground Duels lost,Ground Duels won %,Straight Red card,Red Card (2 Yellows),Attacking Ground Duels Won,Attacking Ground Duels Lost,Defensive Ground Duels Won,Defensive Ground Duels Lost,Attacking Aerial Duels Won,Attacking Aerial Duels Lost,Defensive Aerial Duels Won,Defensive Aerial Duels Lost
1316.00,Al-Ittihad,4.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,33.00,21.00,0.00,18.00,0.00,24.00,40.00,4.00,3.00,3.00,0.00,0.00,2.00,16.00,12.00,19.00,0.00,9.00,28.00,0.00,2.00,0.00,2.00,0.00,2.00,68.00,68.00,137.00,331.00,320.00,123.00,73.00,346.00,34.00,29.00,5.00,7.00,40.00,0.00,2525.00,1276.00,1249.00,0.50,632.00,318.00,314.00,0.50,1893.00,958.00,935.00,0.50,2.00,1.00,466.00,510.00,502.00,443.00,112.00,178.00,206.00,136.00
1317.00,Al-Hilal,4.00,2.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,28.00,15.00,0.00,40.00,0.00,12.00,46.00,1.00,4.00,4.00,1.00,1.00,1.00,13.00,7.00,27.00,0.00,6.00,24.00,1.00,6.00,2.00,0.00,1.00,3.00,62.00,62.00,154.00,270.00,329.00,136.00,81.00,368.00,10.00,16.00,17.00,10.00,33.00,0.00,2396.00,1240.00,1156.00,0.51,571.00,323.00,248.00,0.56,1825.00,917.00,908.00,0.50,3.00,3.00,489.00,563.00,437.00,359.00,120.00,133.00,203.00,115.00
5680.00,Al-Ittifaq,1.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,20.00,0.00,18.00,1.00,18.00,21.00,5.00,2.00,3.00,1.00,0.00,1.00,10.00,20.00,16.00,0.00,23.00,10.00,2.00,0.00,2.00,1.00,0.00,0.00,66.00,66.00,156.00,343.00,318.00,131.00,91.00,299.00,54.00,41.00,7.00,15.00,50.00,0.00,2656.00,1283.00,1373.00,0.48,696.00,348.00,348.00,0.50,1960.00,935.00,1025.00,0.47,3.00,2.00,379.00,510.00,578.00,527.00,131.00,201.00,217.00,147.00
6770.00,Al-Ahli,2.00,1.00,4.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,35.00,17.00,0.00,28.00,0.00,14.00,34.00,1.00,4.00,4.00,2.00,0.00,0.00,13.00,10.00,24.00,0.00,2.00,18.00,0.00,5.00,1.00,1.00,0.00,2.00,67.00,67.00,135.00,262.00,291.00,117.00,96.00,289.00,53.00,22.00,12.00,7.00,32.00,0.00,2289.00,1213.00,1076.00,0.52,576.00,305.00,271.00,0.52,1713.00,908.00,805.00,0.53,2.00,1.00,476.00,460.00,442.00,354.00,131.00,159.00,174.00,112.00
6772.00,Al-Fateh,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,8.00,0.00,33.00,0.00,8.00,30.00,0.00,5.00,2.00,0.00,0.00,1.00,7.00,6.00,23.00,0.00,3.00,16.00,1.00,6.00,2.00,1.00,0.00,0.00,71.00,71.00,110.00,308.00,295.00,113.00,73.00,289.00,61.00,37.00,8.00,9.00,37.00,2.00,2306.00,1129.00,1177.00,0.48,634.00,286.00,348.00,0.45,1672.00,843.00,829.00,0.50,1.00,1.00,366.00,439.00,483.00,409.00,124.00,215.00,162.00,133.00
6780.00,Al-Nassr,2.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,11.00,2.00,33.00,0.00,10.00,33.00,1.00,5.00,3.00,0.00,0.00,1.00,8.00,9.00,24.00,0.00,3.00,25.00,0.00,5.00,1.00,1.00,0.00,3.00,66.00,66.00,124.00,298.00,349.00,134.00,75.00,330.00,55.00,44.00,15.00,9.00,22.00,1.00,2512.00,1289.00,1223.00,0.51,579.00,322.00,257.00,0.55,1933.00,967.00,966.00,0.50,1.00,1.00,510.00,570.00,476.00,412.00,122.00,137.00,200.00,120.00
6846.00,Al-Hazm,1.00,0.00,4.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,10.00,1.00,21.00,0.00,15.00,32.00,2.00,4.00,2.00,1.00,0.00,2.00,11.00,10.00,18.00,0.00,5.00,28.00,3.00,3.00,2.00,1.00,0.00,0.00,68.00,68.00,146.00,374.00,299.00,135.00,83.00,330.00,59.00,62.00,5.00,9.00,34.00,1.00,2650.00,1289.00,1361.00,0.48,658.00,285.00,373.00,0.43,1992.00,1004.00,988.00,0.50,1.00,1.00,434.00,506.00,588.00,490.00,99.00,203.00,186.00,170.00
6847.00,Al-Wahda,1.00,0.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,3.00,21.00,9.00,0.00,32.00,0.00,12.00,31.00,0.00,14.00,9.00,2.00,0.00,2.00,7.00,7.00,20.00,0.00,5.00,14.00,0.00,9.00,2.00,0.00,0.00,1.00,72.00,72.00,134.00,334.00,327.00,110.00,84.00,308.00,39.00,44.00,9.00,12.00,27.00,1.00,2452.00,1246.00,1206.00,0.50,598.00,311.00,287.00,0.52,1854.00,935.00,919.00,0.50,0.00,0.00,439.00,464.00,510.00,468.00,137.00,193.00,174.00,94.00
9623.00,Al-Baten,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,9.00,1.00,7.00,0.00,5.00,33.00,0.00,10.00,6.00,0.00,0.00,1.00,13.00,5.00,21.00,1.00,3.00,14.00,0.00,10.00,1.00,0.00,0.00,2.00,69.00,69.00,120.00,308.00,315.00,128.00,77.00,308.00,44.00,41.00,6.00,10.00,36.00,3.00,2408.00,1159.00,1249.00,0.48,578.00,279.00,299.00,0.48,1830.00,880.00,950.00,0.48,1.00,0.00,414.00,487.00,479.00,474.00,112.00,166.00,167.00,133.00
9624.00,Ohod,1.00,1.00,0.00,1.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,13.00,1.00,19.00,0.00,19.00,31.00,3.00,4.00,4.00,0.00,0.00,3.00,14.00,7.00,15.00,0.00,6.00,15.00,3.00,2.00,2.00,0.00,0.00,0.00,66.00,66.00,104.00,289.00,287.00,127.00,84.00,291.00,58.00,46.00,3.00,7.00,43.00,0.00,2351.00,1162.00,1189.00,0.49,642.00,303.00,339.00,0.47,1709.00,859.00,850.00,0.50,2.00,1.00,412.00,468.00,454.00,403.00,131.00,223.00,172.00,116.00
