Team,Game Played,Goals for ,AVG Goals for,Goals Against,AVG Goals Against
Al-Ahli,13,15,1.153846154,26,2
Al-Baten,13,21,1.615384615,10,0.769230769
Al-Faisaly,13,12,0.923076923,16,1.230769231
Al-Fateh,13,13,1,11,0.846153846
Al-Feiha,13,20,1.538461538,6,0.461538462
Al-Hazm,13,17,1.307692308,15,1.153846154
Al-Hilal,13,15,1.153846154,26,2
Al-Ittifaq,13,19,1.461538462,12,0.923076923
Al-Ittihad,13,19,1.461538462,16,1.230769231
Al-Nassr,13,9,0.692307692,24,1.846153846
Al-Quadisiya,13,13,1,16,1.230769231
Al-Raed,13,17,1.307692308,20,1.538461538
Al-Shabab,13,9,0.692307692,12,0.923076923
Al-Taawon,13,16,1.230769231,20,1.538461538
Al-Wahda,13,15,1.153846154,14,1.076923077
Ohod,13,18,1.384615385,5,0.384615385
