Date,Home_Team,Team id,Team Name,Visitor_Team,round,season,Home_Score,Away_Score
Fri 19 Jan 18:10  finished,Al Ittihad,1316.0,Al-Ittihad,Al Ettifaq Dammam,2,2017/2018,2,1
Sat 08 Mar 18:30  finished,Al Ittihad,1316.0,Al-Ittihad,Al Nahdha,2,2013/2014,5,3
Wed 21 Apr   finished,Al Ittihad,1316.0,Al-Ittihad,Al Shabab,2,2009/2010,2,0
Sun 27 Apr 19:45  finished,Al Ittihad,1316.0,Al-Ittihad,Al Ahli Jeddah,4,2013/2014,2,3
Mon 01 Apr 22:35,Al Ittihad,1316.0,Al-Ittihad,Al Batin,4,2018/2019,2,5
Sun 04 Apr   finished,Al Ittihad,1316.0,Al-Ittihad,Al Hazm Rass,1,2009/2010,4,1
Mon 17 Feb   finished,Al Ittihad,1316.0,Al-Ittihad,Al Sarawat,1,2013/2014,4,0
Tue 15 Jan 17:30  finished,Al Nassr,6780.0,Al-Nassr,Al Ansar Medina,2,2018/2019,5,0
Wed 08 May 19:45  finished,Al Nassr,6780.0,Al-Nassr,Al Ahli Jeddah,1,2012/2013,1,3
Sat 30 Apr 19:45  finished,Al Nassr,6780.0,Al-Nassr,Al Ittihad,4,2015/2016,3,1
Tue 12 Apr 20:00  finished,Al Nassr,6780.0,Al-Nassr,Al Orubah,3,2015/2016,3,1
Sat 21 Jan 16:10  finished,Al Nassr,6780.0,Al-Nassr,Al-Fayha,1,2016/2017,4,0
Thu 22 Feb 18:00  finished,Al Nassr,6780.0,Al-Nassr,Al Batin,3,2017/2018,0,1
Sat 01 Apr 19:30  finished,Al Nassr,6780.0,Al-Nassr,Al Hilal Riyadh,3,2016/2017,0,2
Sun 29 Apr 19:45  finished,Al Nassr,6780.0,Al-Nassr,Al Shabab,1,2011/2012,2,1
Sat 20 Jan 16:10  finished,Al Nassr,6780.0,Al-Nassr,Al Nahdha,2,2017/2018,1,0
Tue 08 May 19:50  finished,Al Nassr,6780.0,Al-Nassr,Al Fateh FC,2,2011/2012,2,0
Fri 22 May 18:10  finished,Al Nassr,6780.0,Al-Nassr,Al Batin,3,2014/2015,1,0
Sat 30 May 19:30  finished,Al Nassr,6780.0,Al-Nassr,Al Taawon,4,2014/2015,2,1
Mon 17 Feb   finished,Al Nassr,6780.0,Al-Nassr,Al Hazm Rass,1,2013/2014,4,1
Fri 05 Jun 20:00  finished,Al Nassr,6780.0,Al-Nassr,Al Hilal Riyadh,5,2014/2015,1,1
Tue 20 Apr   finished,Al Nassr,6780.0,Al-Nassr,Al Hilal Riyadh,2,2009/2010,3,5
Fri 09 Apr   finished,Al Nassr,6780.0,Al-Nassr,Al Ahli Jeddah,1,2009/2010,1,3
Fri 05 Jan 17:20  finished,Al Nassr,6780.0,Al-Nassr,Al Zulfi,1,2017/2018,2,0
Mon 01 Apr 22:35,Al Nassr,6780.0,Al-Nassr,Al Jeel,4,2018/2019,2,5
Sun 29 May 20:00  finished,Al Nassr,6780.0,Al-Nassr,Al Ittihad,1,2010/2011,3,3
Tue 14 Apr 17:45  finished,Qadisiyah Khobar,6775.0,Al-Quadisiya,Al Ahli Jeddah,2,2014/2015,1,1
Sat 20 Jan 15:55  finished,Qadisiyah Khobar,6775.0,Al-Quadisiya,Al Hilal Riyadh,2,2017/2018,1,0
Sun 25 Feb 16:20  finished,Qadisiyah Khobar,6775.0,Al-Quadisiya,Al Faisaly,3,2017/2018,2,3
Mon 13 Feb 18:15  finished,Qadisiyah Khobar,6775.0,Al-Quadisiya,Al Ahli Jeddah,2,2016/2017,1,3
Mon 17 Feb   finished,Qadisiyah Khobar,6775.0,Al-Quadisiya,Al Hilal Riyadh,1,2013/2014,2,4
Thu 04 Jan 15:40  finished,Qadisiyah Khobar,6775.0,Al-Quadisiya,Jeddah Club,1,2017/2018,3,2
Mon 17 Feb   finished,Al Raed,6773.0,Al-Raed,Ohod,1,2013/2014,1,0
Fri 22 Jan 13:40  finished,Al Raed,6773.0,Al-Raed,Al-Fayha,1,2015/2016,1,0
Sun 05 May 18:05  finished,Al Raed,6773.0,Al-Raed,Al Shabab,1,2012/2013,0,2
Tue 07 Feb 16:30  finished,Al Raed,6773.0,Al-Raed,Al Taawon,2,2016/2017,0,1
Thu 10 Apr 15:00  finished,Al Raed,6773.0,Al-Raed,Al Ittihad,3,2013/2014,0,3
Tue 12 Apr 18:05  finished,Al Raed,6773.0,Al-Raed,Al Ahli Jeddah,3,2015/2016,1,3
Sat 21 Jan 13:40  finished,Al Raed,6773.0,Al-Raed,Al Jabalain,1,2016/2017,3,0
Wed 16 Jan 13:35  finished,Al Raed,6773.0,Al-Raed,Al Ain FC,2,2018/2019,(,)
Mon 09 Mar   finished,Al Raed,6773.0,Al-Raed,Al-Safa,1,2014/2015,2,0
Sat 06 Jan 16:05  finished,Al Raed,6773.0,Al-Raed,Al Nahdha,1,2017/2018,0,1
Sat 05 Jan 13:30  finished,Al Raed,6773.0,Al-Raed,Arar,1,2018/2019,5,1
Sun 07 Jan 16:00  finished,Al Shabab,6774.0,Al-Shabab,Najran,1,2017/2018,2,0
Sun 04 Apr   finished,Al Shabab,6774.0,Al-Shabab,Al Wahda Mecca,1,2009/2010,1,0
Tue 18 Feb   finished,Al Shabab,6774.0,Al-Shabab,Al-Kawkab,1,2013/2014,3,1
Mon 03 May   finished,Al Shabab,6774.0,Al-Shabab,Al Ittihad,2,2009/2010,1,2
Sun 29 May 20:00  finished,Al Shabab,6774.0,Al-Shabab,Al Ahli Jeddah,1,2010/2011,0,3
Sat 25 May 18:05  finished,Al Shabab,6774.0,Al-Shabab,Al Ahli Jeddah,2,2012/2013,2,0
Thu 09 May 18:05  finished,Al Shabab,6774.0,Al-Shabab,Al Raed,1,2012/2013,3,1
Wed 02 Jan 13:20  finished,Al Shabab,6774.0,Al-Shabab,Al Sahel,1,2018/2019,3,0
Mon 23 Apr 19:45  finished,Al Shabab,6774.0,Al-Shabab,Al Nassr,1,2011/2012,1,2
Thu 25 Jan 18:00  finished,Al Shabab,6774.0,Al-Shabab,Al Khaleej Saihat,2,2017/2018,3,1
Sun 24 Jan 16:10  finished,Al Shabab,6774.0,Al-Shabab,Al Ettifaq Dammam,1,2015/2016,2,0
Sat 08 Mar 18:25  finished,Al Shabab,6774.0,Al-Shabab,Al Nassr,2,2013/2014,2,1
Fri 01 May 18:00  finished,Al Shabab,6774.0,Al-Shabab,Al Taawon,3,2014/2015,1,2
Tue 10 Mar   finished,Al Shabab,6774.0,Al-Shabab,Al Duriah,1,2014/2015,2,0
Thu 17 Mar 16:45  finished,Al Shabab,6774.0,Al-Shabab,Al Raed,2,2015/2016,2,3
Sun 27 Apr 19:45  finished,Al Shabab,6774.0,Al-Shabab,Al Ettifaq Dammam,4,2013/2014,1,0
Tue 02 Apr 21:00,Al Taawon,6778.0,Al-Taawon,Al Wahda Mecca,4,2018/2019,2,0
Fri 18 Jan 13:35  finished,Al Taawon,6778.0,Al-Taawon,Al Nahdha,2,2018/2019,6,0
Wed 20 Jan 16:15  finished,Al Taawon,6778.0,Al-Taawon,Al Mojzel,1,2015/2016,1,2
Wed 23 Jan 16:20  finished,Al Taawon,6778.0,Al-Taawon,Al Shabab,3,2018/2019,3,0
Fri 05 Jan 13:25  finished,Al Taawon,6778.0,Al-Taawon,Dhamk Club,1,2017/2018,1,2
Fri 04 Jan 16:05  finished,Al Taawon,6778.0,Al-Taawon,Al Adalh Club,1,2018/2019,1,0
