Date,Home_Team_Id,Home_Team_Name,Visitor_Team_Id,Visitor_Team,group,Round,season,Home_Score,Away_Score
Thu 01 Dec 17:35  finished,1316,Al-Ittihad,6770,Al-Ahli,1,11,2011/2012,1,3
Fri 16 Dec 13:05  finished,6774,Al-Shabab,6770,Al-Ahli,1,13,2011/2012,1,1
Sun 12 Oct 18:55  finished,1317,Al-Hilal,6770,Al-Ahli,1,5,2008/2009,0,0
Thu 18 Mar 18:30  finished,6772,Al-Fateh,6770,Al-Ahli,1,22,2009/2010,3,1
Fri 09 Mar 18:30  finished,6775,Al-Quadisiya,6770,Al-Ahli,1,24,2017/2018,0,1
Sun 25 Aug 19:40  finished,6777,Al-Faisaly,6770,Al-Ahli,1,1,2013/2014,1,3
Sat 30 Jan 18:10  finished,6780,Al-Nassr,6770,Al-Ahli,1,20,2009/2010,1,1
Fri 21 Oct 19:15  finished,6780,Al-Nassr,6770,Al-Ahli,1,6,2016/2017,1,0
Fri 23 Oct 18:45  finished,6775,Al-Quadisiya,6770,Al-Ahli,1,6,2009/2010,1,2
Sat 20 Aug 20:05  finished,6772,Al-Fateh,6770,Al-Ahli,1,2,2016/2017,0,1
Thu 01 Dec 17:40  finished,6777,Al-Faisaly,6770,Al-Ahli,1,11,2016/2017,3,6
Sat 08 Dec 17:35  finished,6773,Al-Raed,6770,Al-Ahli,1,10,2012/2013,1,1
Sun 08 Apr 19:35  finished,6773,Al-Raed,6770,Al-Ahli,1,25,2011/2012,1,5
Sun 18 Sep 19:45  finished,6774,Al-Shabab,6770,Al-Ahli,1,3,2016/2017,3,2
Fri 03 Feb 18:20  finished,1316,Al-Ittihad,6770,Al-Ahli,1,17,2016/2017,1,4
Thu 18 Apr 19:40  finished,6780,Al-Nassr,6770,Al-Ahli,1,25,2012/2013,2,2
Thu 05 Jan 13:20  finished,6780,Al-Nassr,6770,Al-Ahli,1,15,2011/2012,1,3
Thu 09 Feb 18:15  finished,6775,Al-Quadisiya,6770,Al-Ahli,1,18,2016/2017,4,1
Thu 07 Jan 17:50  finished,1317,Al-Hilal,6770,Al-Ahli,1,16,2009/2010,3,1
Fri 11 Mar 16:25  finished,6775,Al-Quadisiya,6770,Al-Ahli,1,20,2015/2016,0,2
Sun 14 Apr 19:35  finished,6772,Al-Fateh,6770,Al-Ahli,1,24,2012/2013,1,0
Sat 09 Apr 17:55  finished,6777,Al-Faisaly,6770,Al-Ahli,1,22,2015/2016,1,2
Fri 25 Dec 17:40  finished,5680,Al-Ittifaq,6770,Al-Ahli,1,14,2009/2010,0,0
Thu 12 Mar 18:30  finished,6846,Al-Hazm,6770,Al-Ahli,1,11,2008/2009,1,1
Tue 17 Mar 18:30  finished,6773,Al-Raed,6770,Al-Ahli,1,9,2008/2009,2,3
Mon 15 Feb 18:40  finished,6780,Al-Nassr,6770,Al-Ahli,1,17,2015/2016,1,1
Fri 16 Feb 16:35  finished,10483,Al-Feiha,6770,Al-Ahli,1,22,2017/2018,1,1
Thu 19 Aug 20:45  finished,5680,Al-Ittifaq,6770,Al-Ahli,1,2,2010/2011,4,3
Wed 10 Feb 18:40  finished,6847,Al-Wahda,6770,Al-Ahli,1,16,2015/2016,0,1
Fri 24 Aug 19:40  finished,6774,Al-Shabab,6770,Al-Ahli,1,3,2012/2013,2,2
Sun 03 Mar 18:25  finished,5680,Al-Ittifaq,6770,Al-Ahli,1,21,2012/2013,1,4
Sun 20 Nov 17:45  finished,9623,Al-Baten,6770,Al-Ahli,1,9,2016/2017,0,1
Sun 14 Aug 19:45  finished,5680,Al-Ittifaq,6770,Al-Ahli,1,1,2016/2017,1,4
Wed 30 Sep 19:05  finished,6774,Al-Shabab,6770,Al-Ahli,1,4,2009/2010,2,1
Mon 24 Sep 19:15  finished,6777,Al-Faisaly,6770,Al-Ahli,1,7,2012/2013,0,3
Sat 17 Nov 17:35  finished,6778,Al-Taawon,6770,Al-Ahli,1,2,2012/2013,2,1
Fri 30 Nov 17:45  finished,1316,Al-Ittihad,6770,Al-Ahli,1,6,2012/2013,1,3
Thu 04 Mar 18:20  finished,6846,Al-Hazm,6770,Al-Ahli,1,2,2009/2010,1,1
Mon 12 Mar 18:25  finished,5680,Al-Ittifaq,6770,Al-Ahli,1,21,2011/2012,0,4
Mon 15 Dec 17:40  finished,6774,Al-Shabab,6770,Al-Ahli,1,13,2008/2009,3,2
Thu 09 Mar 18:35  finished,6847,Al-Wahda,6770,Al-Ahli,1,21,2016/2017,1,3
Thu 02 Feb 13:50  finished,6778,Al-Taawon,6770,Al-Ahli,1,18,2011/2012,0,2
Sat 17 Dec 17:45  finished,6778,Al-Taawon,6770,Al-Ahli,1,13,2016/2017,2,3
Tue 15 Dec 17:40  finished,6773,Al-Raed,6770,Al-Ahli,1,12,2009/2010,1,2
Sat 24 Jan 18:00  finished,1316,Al-Ittihad,6770,Al-Ahli,1,19,2008/2009,1,2
Sun 08 May 20:00  finished,6773,Al-Raed,6770,Al-Ahli,1,25,2015/2016,2,5
Tue 03 Nov 17:40  finished,6847,Al-Wahda,6770,Al-Ahli,1,8,2009/2010,1,1
Sat 05 Dec 17:35  finished,1316,Al-Ittihad,6770,Al-Ahli,1,10,2009/2010,2,1
Wed 21 Nov 17:35  finished,1317,Al-Hilal,6770,Al-Ahli,1,13,2012/2013,4,1
Thu 05 Mar 18:25  finished,6847,Al-Wahda,6770,Al-Ahli,1,17,2008/2009,0,2
Mon 23 Mar 18:25  finished,5680,Al-Ittifaq,6770,Al-Ahli,1,18,2008/2009,0,0
Sun 25 Mar 19:30  finished,6775,Al-Quadisiya,6770,Al-Ahli,1,23,2011/2012,0,3
Sun 14 Sep 21:15  finished,6780,Al-Nassr,6770,Al-Ahli,1,1,2008/2009,2,1
Thu 31 Jan 18:10  finished,6847,Al-Wahda,6770,Al-Ahli,1,18,2012/2013,1,3
Sat 16 Oct 18:55  finished,6780,Al-Nassr,6770,Al-Ahli,1,9,2010/2011,2,1
Fri 11 Aug 19:55  finished,5680,Al-Ittifaq,6770,Al-Ahli,1,1,2017/2018,2,1
Sun 31 Aug 19:40  finished,1317,Al-Hilal,6770,Al-Ahli,1,3,2014/2015,0,0
Sat 30 Oct 18:45  finished,6777,Al-Faisaly,6770,Al-Ahli,1,11,2010/2011,3,2
Fri 18 Mar 18:30  finished,6778,Al-Taawon,6770,Al-Ahli,1,20,2010/2011,2,1
Sat 02 Apr 19:35  finished,6775,Al-Quadisiya,6770,Al-Ahli,1,21,2010/2011,1,3
Fri 22 Sep 17:35  finished,9623,Al-Baten,6770,Al-Ahli,1,4,2017/2018,1,2
Sat 23 Dec 17:45  finished,6772,Al-Fateh,6770,Al-Ahli,1,15,2017/2018,1,3
Sat 14 Oct 19:00  finished,6774,Al-Shabab,6770,Al-Ahli,1,6,2017/2018,2,5
Wed 03 Nov 17:40  finished,6847,Al-Wahda,6770,Al-Ahli,1,12,2010/2011,1,3
Tue 03 Nov 18:30  finished,6774,Al-Shabab,6770,Al-Ahli,1,6,2015/2016,1,1
Fri 04 Oct 19:05  finished,1316,Al-Ittihad,6770,Al-Ahli,1,6,2013/2014,0,0
Sat 22 Feb 13:55  finished,6778,Al-Taawon,6770,Al-Ahli,1,23,2013/2014,1,1
Thu 07 Nov 17:45  finished,6772,Al-Fateh,6770,Al-Ahli,1,9,2013/2014,0,3
Thu 06 Feb 18:20  finished,6773,Al-Raed,6770,Al-Ahli,1,21,2013/2014,0,1
