Round,TeamId,score
1,1317,3
2,1317,6
3,1317,9
4,1317,12
5,1317,15
6,1317,18
7,1317,21
8,1317,24
9,1317,27
10,1317,28
11,1317,31
12,1317,32
13,1317,32
14,1317,35
15,1317,36
16,1317,37
17,1317,40
18,1317,43
19,1317,46
20,1317,49
21,1317,52
22,1317,55
23,1317,56
24,1317,57
1,9624,0
2,9624,0
3,9624,0
4,9624,1
5,9624,1
6,9624,2
7,9624,2
8,9624,5
9,9624,6
10,9624,6
11,9624,6
12,9624,6
13,9624,6
14,9624,6
15,9624,6
16,9624,6
17,9624,6
18,9624,9
19,9624,12
20,9624,12
21,9624,12
22,9624,13
23,9624,14
24,9624,15
1,6846,1
2,6846,2
3,6846,2
4,6846,5
5,6846,5
6,6846,8
7,6846,8
8,6846,8
9,6846,9
10,6846,10
11,6846,11
12,6846,11
13,6846,14
14,6846,14
15,6846,14
16,6846,15
17,6846,16
18,6846,19
19,6846,19
20,6846,22
21,6846,23
22,6846,23
23,6846,24
24,6846,24
1,5680,1
2,5680,4
3,5680,7
4,5680,8
5,5680,8
6,5680,11
7,5680,14
8,5680,14
9,5680,14
10,5680,14
11,5680,15
12,5680,15
13,5680,18
14,5680,19
15,5680,22
16,5680,23
17,5680,26
18,5680,26
19,5680,27
20,5680,27
21,5680,28
22,5680,28
23,5680,28
24,5680,29
1,6770,1
2,6770,4
3,6770,7
4,6770,10
5,6770,13
6,6770,13
7,6770,16
8,6770,19
9,6770,19
10,6770,22
11,6770,23
12,6770,24
13,6770,24
14,6770,24
15,6770,24
16,6770,27
17,6770,30
18,6770,33
19,6770,36
20,6770,36
21,6770,36
22,6770,37
23,6770,40
24,6770,40
1,6775,1
2,6775,4
3,6775,4
4,6775,4
5,6775,4
6,6775,4
7,6775,4
8,6775,4
9,6775,7
10,6775,10
11,6775,11
12,6775,14
13,6775,17
14,6775,20
15,6775,20
16,6775,20
17,6775,20
18,6775,23
19,6775,23
20,6775,23
21,6775,23
22,6775,24
23,6775,24
24,6775,24
1,6777,1
2,6777,1
3,6777,4
4,6777,4
5,6777,4
6,6777,4
7,6777,7
8,6777,10
9,6777,11
10,6777,12
11,6777,13
12,6777,16
13,6777,17
14,6777,20
15,6777,23
16,6777,24
17,6777,24
18,6777,24
19,6777,24
20,6777,27
21,6777,30
22,6777,30
23,6777,30
24,6777,33
1,6774,3
2,6774,6
3,6774,7
4,6774,8
5,6774,9
6,6774,9
7,6774,12
8,6774,15
9,6774,16
10,6774,16
11,6774,17
12,6774,20
13,6774,23
14,6774,26
15,6774,29
16,6774,32
17,6774,33
18,6774,34
19,6774,34
20,6774,37
21,6774,40
22,6774,40
23,6774,43
24,6774,44
1,1316,0
2,1316,0
3,1316,0
4,1316,1
5,1316,1
6,1316,2
7,1316,2
8,1316,2
9,1316,2
10,1316,2
11,1316,3
12,1316,3
13,1316,6
14,1316,6
15,1316,6
16,1316,9
17,1316,10
18,1316,13
19,1316,14
20,1316,15
21,1316,15
22,1316,16
23,1316,19
24,1316,22
1,10483,0
2,10483,0
3,10483,0
4,10483,3
5,10483,3
6,10483,3
7,10483,4
8,10483,7
9,10483,10
10,10483,11
11,10483,12
12,10483,12
13,10483,12
14,10483,15
15,10483,15
16,10483,15
17,10483,15
18,10483,15
19,10483,16
20,10483,16
21,10483,16
22,10483,19
23,10483,19
24,10483,19
1,6780,3
2,6780,6
3,6780,9
4,6780,12
5,6780,15
6,6780,18
7,6780,19
8,6780,19
9,6780,22
10,6780,25
11,6780,25
12,6780,26
13,6780,29
14,6780,32
15,6780,33
16,6780,34
17,6780,37
18,6780,37
19,6780,40
20,6780,43
21,6780,46
22,6780,49
23,6780,52
24,6780,55
1,6772,1
2,6772,2
3,6772,3
4,6772,3
5,6772,6
6,6772,9
7,6772,9
8,6772,9
9,6772,10
10,6772,13
11,6772,13
12,6772,16
13,6772,17
14,6772,18
15,6772,19
16,6772,19
17,6772,22
18,6772,22
19,6772,25
20,6772,28
21,6772,31
22,6772,32
23,6772,32
24,6772,33
1,6773,1
2,6773,1
3,6773,1
4,6773,2
5,6773,5
6,6773,5
7,6773,5
8,6773,8
9,6773,11
10,6773,11
11,6773,14
12,6773,15
13,6773,15
14,6773,18
15,6773,21
16,6773,22
17,6773,22
18,6773,23
19,6773,23
20,6773,24
21,6773,24
22,6773,25
23,6773,25
24,6773,28
1,6778,1
2,6778,2
3,6778,5
4,6778,5
5,6778,6
6,6778,9
7,6778,12
8,6778,12
9,6778,12
10,6778,15
11,6778,18
12,6778,21
13,6778,24
14,6778,24
15,6778,25
16,6778,26
17,6778,26
18,6778,29
19,6778,30
20,6778,33
21,6778,36
22,6778,39
23,6778,42
24,6778,43
1,6847,1
2,6847,2
3,6847,5
4,6847,6
5,6847,9
6,6847,12
7,6847,15
8,6847,15
9,6847,15
10,6847,18
11,6847,21
12,6847,21
13,6847,21
14,6847,21
15,6847,24
16,6847,27
17,6847,28
18,6847,28
19,6847,31
20,6847,31
21,6847,34
22,6847,35
23,6847,36
24,6847,36
1,9623,1
2,9623,1
3,9623,1
4,9623,1
5,9623,4
6,9623,4
7,9623,4
8,9623,7
9,9623,8
10,9623,8
11,9623,8
12,9623,11
13,9623,11
14,9623,11
15,9623,14
16,9623,15
17,9623,18
18,9623,18
19,9623,18
20,9623,18
21,9623,18
22,9623,19
23,9623,22
24,9623,22
