Team,Home_attack,Home_defense,Away_attack,Away_defense
Al-Ahli,1.263157894,1.157894736,0.967741936,1.67068273
Al-Baten,0.736842105,1.210526315,1.35483871,0.642570281
Al-Faisaly,1.210526315,1.157894736,0.774193549,1.028112449
Al-Fateh,0.947368421,0.842105263,0.838709678,0.706827309
Al-Feiha,0.894736842,1.157894736,1.290322581,0.385542169
Al-Hazm,0.684210526,1.210526315,1.096774194,0.963855421
Al-Hilal,1.578947368,0.47368421,0.967741936,1.67068273
Al-Ittifaq,1.421052631,1.315789473,1.225806452,0.771084337
Al-Ittihad,0.578947368,0.894736842,1.225806452,1.028112449
Al-Nassr,1.315789473,0.631578947,0.580645161,1.542168674
Al-Quadisiya,0.631578947,1.368421052,0.838709678,1.028112449
Al-Raed,0.47368421,1.263157894,1.096774194,1.285140562
Al-Shabab,1,0.368421053,0.580645161,0.771084337
Al-Taawon,1.789473684,0.631578947,1.032258065,1.285140562
Al-Wahda,0.789473684,0.736842105,0.967741936,0.899598393
Ohod,0.684210526,1.578947368,1.161290323,0.32128514
